Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label
ACC,CD4_Tcells_EPIC,CD4 Tcells,TME cell type,EPIC,IOBR::deconvo_tme(method='epic'),CD4TCELLS,39,40,0.0555083691599628,0.0484196708668583,-0.00708869829310453,0.245240298446258,0.493506490472442,ns,P=0.245,FDR=0.494
ACC,Monocytes_xCell,Monocytes,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MONOCYTES,39,40,8.23820626914529e-23,4.14561170717926e-23,-4.09259456196603e-23,0.246753245236221,0.493506490472442,ns,P=0.247,FDR=0.494
ACC,Endothelial_cells_xCell,Endothelial Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,39,40,0,0,0,0.27507139498775,0.517755911889061,ns,P=0.275,FDR=0.518
ACC,Neutrophils_quantiseq,Neutrophils,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),NEUTROPHILS,39,40,0,0,0,0.285902158114242,0.517755911889061,ns,P=0.286,FDR=0.518
ACC,T_cells_CD8_quantiseq,t Cells CD8,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD8,39,40,0,0,0,0.288748489322746,0.517755911889061,ns,P=0.289,FDR=0.518
ACC,Macrophages_M2_xCell,Macrophages M2,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),MACROPHAGESM2,39,40,0,7.3728436899484e-25,7.3728436899484e-25,0.30558366287424,0.529678348982015,ns,P=0.306,FDR=0.53
ACC,CD8+_Tcm_xCell,CD8+ Tcm,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8TCM,39,40,5.43284336419739e-23,7.41551803387035e-24,-4.69129156081035e-23,0.329926457503546,0.537961222476362,ns,P=0.33,FDR=0.538
ACC,CD8+_T-cells_xCell,CD8+ t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8TCELLS,39,40,0,0,0,0.331053059985453,0.537961222476362,ns,P=0.331,FDR=0.538
ACC,aDC_xCell,Adc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),ADC,39,40,8.85896149342699e-25,0,-8.85896149342699e-25,0.397744536967196,0.626748967342248,ns,P=0.398,FDR=0.627
ACC,Macrophages_M1_quantiseq,Macrophages M1,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM1,39,40,0,0,0,0.469322766391844,0.701189483949187,ns,P=0.469,FDR=0.701
ACC,Fibroblasts_xCell,Fibroblasts,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,39,40,3.40681266074198e-22,1.94504650925439e-22,-1.4617661514876e-22,0.478293161285748,0.701189483949187,ns,P=0.478,FDR=0.701
ACC,iDC_xCell,Idc,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),IDC,39,40,2.31115710723991e-25,4.77808912182041e-24,4.54697341109642e-24,0.485438873503284,0.701189483949187,ns,P=0.485,FDR=0.701
ACC,CD8+_naive_T-cells_xCell,CD8+ Naive t-Cells,TME cell type,xCell,IOBR::deconvo_tme(method='xcell'),CD8NAIVETCELLS,39,40,0,2.37919730769615e-25,2.37919730769615e-25,0.613371800669372,0.84860334575917,ns,P=0.613,FDR=0.849
ACC,T_cells_CD4_quantiseq,t Cells CD4,TME cell type,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD4,39,40,0.0146529727044439,0.0176425168972097,0.00298954419276578,0.620133214208624,0.84860334575917,ns,P=0.62,FDR=0.849
