Cancer	Feature	P	FDR	Significance	P_label	FDR_label
LUAD	ESTIMATEScore_estimate	2.33648755550551e-05	3.11531674067401e-05	****	P < 0.001	P < 0.001
LUAD	TumorPurity_estimate	2.33648755550551e-05	3.11531674067401e-05	****	P < 0.001	P < 0.001
LUAD	StromalScore_estimate	0.000495690165094969	0.000495690165094969	***	P < 0.001	P < 0.001
STAD	ESTIMATEScore_estimate	1.56000006303247e-05	3.12000012606493e-05	****	P < 0.001	P < 0.001
STAD	TumorPurity_estimate	1.56000006303247e-05	3.12000012606493e-05	****	P < 0.001	P < 0.001
STAD	StromalScore_estimate	3.91804154897995e-05	5.22405539863993e-05	****	P < 0.001	P < 0.001
STAD	ImmuneScore_estimate	0.000554684571564749	0.000554684571564749	***	P < 0.001	P < 0.001
TGCT	StromalScore_estimate	2.98367467422931e-06	6.4200821297423e-06	****	P < 0.001	P < 0.001
TGCT	ESTIMATEScore_estimate	4.81506159730672e-06	6.4200821297423e-06	****	P < 0.001	P < 0.001
TGCT	TumorPurity_estimate	4.81506159730672e-06	6.4200821297423e-06	****	P < 0.001	P < 0.001
TGCT	ImmuneScore_estimate	0.00427606543477978	0.00427606543477978	**	P = 0.00428	P = 0.00428
THCA	ImmuneScore_estimate	3.9484910969136e-08	1.57939643876544e-07	****	P < 0.001	P < 0.001
THCA	ESTIMATEScore_estimate	3.15276785516511e-06	4.20369047355348e-06	****	P < 0.001	P < 0.001
THCA	TumorPurity_estimate	3.15276785516511e-06	4.20369047355348e-06	****	P < 0.001	P < 0.001
THCA	StromalScore_estimate	0.0124413478933851	0.0124413478933851	*	P = 0.0124	P = 0.0124
THYM	StromalScore_estimate	0.0619497383713581	0.0947241798336153	ns	P = 0.0619	P = 0.0947
THYM	ESTIMATEScore_estimate	0.0710431348752114	0.0947241798336153	ns	P = 0.071	P = 0.0947
THYM	TumorPurity_estimate	0.0710431348752114	0.0947241798336153	ns	P = 0.071	P = 0.0947
THYM	ImmuneScore_estimate	0.143717837145922	0.143717837145922	ns	P = 0.144	P = 0.144
UCEC	ImmuneScore_estimate	4.26910523918672e-14	1.70764209567469e-13	****	P < 0.001	P < 0.001
UCEC	ESTIMATEScore_estimate	1.2445575900209e-10	1.65941012002787e-10	****	P < 0.001	P < 0.001
UCEC	TumorPurity_estimate	1.2445575900209e-10	1.65941012002787e-10	****	P < 0.001	P < 0.001
UCEC	StromalScore_estimate	4.62264246708562e-05	4.62264246708562e-05	****	P < 0.001	P < 0.001
UCS	ImmuneScore_estimate	0.0652328529380469	0.260931411752188	ns	P = 0.0652	P = 0.261
UCS	ESTIMATEScore_estimate	0.198801212954931	0.265068283939907	ns	P = 0.199	P = 0.265
UCS	TumorPurity_estimate	0.198801212954931	0.265068283939907	ns	P = 0.199	P = 0.265
UCS	StromalScore_estimate	0.695738709490969	0.695738709490969	ns	P = 0.696	P = 0.696
UVM	StromalScore_estimate	0.410664888044797	0.996161190927211	ns	P = 0.411	P = 0.996
UVM	ESTIMATEScore_estimate	0.889034262909085	0.996161190927211	ns	P = 0.889	P = 0.996
UVM	TumorPurity_estimate	0.889034262909085	0.996161190927211	ns	P = 0.889	P = 0.996
UVM	ImmuneScore_estimate	0.996161190927211	0.996161190927211	ns	P = 0.996	P = 0.996
