Cancer,Group,StatusLabel,N,Total,Proportion,Percent,Label
PAAD,High,Predicted responder,58,89,0.651685393258427,65.1685393258427,65%
PAAD,High,Non-responder,31,89,0.348314606741573,34.8314606741573,35%
PCPG,Low,Predicted responder,19,89,0.213483146067416,21.3483146067416,21%
PCPG,Low,Non-responder,70,89,0.786516853932584,78.6516853932584,79%
PCPG,High,Predicted responder,16,90,0.177777777777778,17.7777777777778,18%
PCPG,High,Non-responder,74,90,0.822222222222222,82.2222222222222,82%
PRAD,Low,Predicted responder,247,248,0.995967741935484,99.5967741935484,100%
PRAD,Low,Non-responder,1,248,0.00403225806451613,0.403225806451613,""
PRAD,High,Predicted responder,249,249,1,100,100%
PRAD,High,Non-responder,0,249,0,0,""
READ,Low,Predicted responder,75,83,0.903614457831325,90.3614457831325,90%
READ,Low,Non-responder,8,83,0.0963855421686747,9.63855421686747,10%
READ,High,Predicted responder,83,83,1,100,100%
READ,High,Non-responder,0,83,0,0,""
SARC,Low,Predicted responder,56,129,0.434108527131783,43.4108527131783,43%
SARC,Low,Non-responder,73,129,0.565891472868217,56.5891472868217,57%
SARC,High,Predicted responder,105,130,0.807692307692308,80.7692307692308,81%
SARC,High,Non-responder,25,130,0.192307692307692,19.2307692307692,19%
SKCM,Low,Predicted responder,183,234,0.782051282051282,78.2051282051282,78%
SKCM,Low,Non-responder,51,234,0.217948717948718,21.7948717948718,22%
SKCM,High,Predicted responder,222,235,0.94468085106383,94.468085106383,94%
SKCM,High,Non-responder,13,235,0.0553191489361702,5.53191489361702,6%
STAD,Low,Predicted responder,108,187,0.577540106951872,57.7540106951872,58%
STAD,Low,Non-responder,79,187,0.422459893048128,42.2459893048128,42%
STAD,High,Predicted responder,159,188,0.845744680851064,84.5744680851064,85%
STAD,High,Non-responder,29,188,0.154255319148936,15.4255319148936,15%
TGCT,Low,Predicted responder,66,75,0.88,88,88%
TGCT,Low,Non-responder,9,75,0.12,12,12%
TGCT,High,Predicted responder,75,75,1,100,100%
TGCT,High,Non-responder,0,75,0,0,""
THCA,Low,Predicted responder,201,252,0.797619047619048,79.7619047619048,80%
THCA,Low,Non-responder,51,252,0.202380952380952,20.2380952380952,20%
THCA,High,Predicted responder,205,252,0.813492063492063,81.3492063492064,81%
THCA,High,Non-responder,47,252,0.186507936507937,18.6507936507937,19%
THYM,Low,Predicted responder,45,60,0.75,75,75%
THYM,Low,Non-responder,15,60,0.25,25,25%
THYM,High,Predicted responder,50,60,0.833333333333333,83.3333333333333,83%
THYM,High,Non-responder,10,60,0.166666666666667,16.6666666666667,17%
UCEC,Low,Predicted responder,251,272,0.922794117647059,92.2794117647059,92%
UCEC,Low,Non-responder,21,272,0.0772058823529412,7.72058823529412,8%
UCEC,High,Predicted responder,273,273,1,100,100%
UCEC,High,Non-responder,0,273,0,0,""
UCS,Low,Predicted responder,28,28,1,100,100%
UCS,Low,Non-responder,0,28,0,0,""
UCS,High,Predicted responder,29,29,1,100,100%
UCS,High,Non-responder,0,29,0,0,""
UVM,Low,Predicted responder,35,40,0.875,87.5,88%
UVM,Low,Non-responder,5,40,0.125,12.5,12%
UVM,High,Predicted responder,36,40,0.9,90,90%
UVM,High,Non-responder,4,40,0.1,10,10%
