Cancer,Feature,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Direction,Category,Row,EffectPlot,SigLabel
BRCA,Telomere attrition,547,548,-0.263642395349136,0.334347279302643,0.597989674651779,2.79485850834812e-28,1.67691510500887e-27,Higher in High,Genome maintenance,11,0.597989674651779,***
CESC,Telomere attrition,152,152,-0.211298044324465,0.216392462187379,0.427690506511843,3.75728428569308e-07,2.25437057141585e-06,Higher in High,Genome maintenance,11,0.427690506511843,***
CHOL,Telomere attrition,17,18,-0.0663734898756117,0.0410655514331366,0.107439041308748,0.462555598482372,0.724157877844532,Higher in High,Genome maintenance,11,0.107439041308748,""
COAD,Telomere attrition,228,228,-0.208443721895612,0.276127646719461,0.484571368615073,2.95996540492111e-12,1.77597924295267e-11,Higher in High,Genome maintenance,11,0.484571368615073,***
DLBC,Telomere attrition,24,24,-0.0842768618097694,0.314234264174411,0.39851112598418,0.0205148696492044,0.0492356871580905,Higher in High,Genome maintenance,11,0.39851112598418,*
ESCA,Telomere attrition,81,81,-0.384582554998829,0.526263651278679,0.910846206277508,6.81902677680236e-10,4.09141606608142e-09,Higher in High,Genome maintenance,11,0.910846206277508,***
GBM,Telomere attrition,80,81,-0.389567314293697,0.307997925839473,0.69756524013317,5.69249034546503e-08,3.41549420727902e-07,Higher in High,Genome maintenance,11,0.69756524013317,***
HNSC,Telomere attrition,251,251,-0.279271808212729,0.35145579607461,0.630727604287339,1.03313831395087e-17,6.19882988370521e-17,Higher in High,Genome maintenance,11,0.630727604287339,***
KICH,Telomere attrition,32,33,-0.362316035293267,0.212113889254726,0.574429924547992,0.0463186694690617,0.0926373389381233,Higher in High,Genome maintenance,11,0.574429924547992,""
KIRC,Telomere attrition,266,266,-0.0576908901071624,-0.047737959523097,0.00995293058406537,0.668753567005081,0.729549345823724,Higher in High,Genome maintenance,11,0.00995293058406537,""
KIRP,Telomere attrition,145,145,-0.256481741462252,0.244405925028262,0.500887666490514,1.41526063635877e-05,5.6610425454351e-05,Higher in High,Genome maintenance,11,0.500887666490514,***
LAML,Telomere attrition,75,75,-0.152989844131603,0.211155972377861,0.364145816509464,0.0258188530576994,0.154913118346196,Higher in High,Genome maintenance,11,0.364145816509464,""
LGG,Telomere attrition,257,257,-0.436963459362072,0.306505349956016,0.743468809318088,5.43051280725173e-30,3.25830768435104e-29,Higher in High,Genome maintenance,11,0.743468809318088,***
LIHC,Telomere attrition,185,186,-0.39611678937625,0.378843557505886,0.774960346882136,4.21982166522222e-17,1.26594649956667e-16,Higher in High,Genome maintenance,11,0.774960346882136,***
LUAD,Telomere attrition,258,258,-0.403766070734002,0.410752582330373,0.814518653064376,5.19119596161124e-19,3.11471757696674e-18,Higher in High,Genome maintenance,11,0.814518653064376,***
