Version,N_samples,N_removed_below_minus5,N_cancers,Significance_rule
complete,10231,0,33,"Asterisks are recalculated from BH-adjusted FDR: * <0.05, ** <0.01, *** <0.001, **** <0.0001."
noBelowMinus5,10227,4,33,"Asterisks are recalculated from BH-adjusted FDR: * <0.05, ** <0.01, *** <0.001, **** <0.0001."
