Cancer	Feature	P	FDR	Significance	P_label	FDR_label
COAD	Loss of proteostasis	0.0480570320338097	0.0823834834865309	ns	P = 0.0481	P = 0.0824
COAD	Disabled macroautophagy	0.0070755347522418	0.0141510695044836	*	P = 0.00708	P = 0.0142
COAD	Deregulated nutrient sensing	0.365035980102558	0.486714640136745	ns	P = 0.365	P = 0.487
COAD	Mitochondrial dysfunction	0.000138676067553988	0.000416028202661964	***	P < 0.001	P < 0.001
COAD	Cellular senescence	6.62312975511535e-08	2.64925190204614e-07	****	P < 0.001	P < 0.001
COAD	Stem cell exhaustion	0.689319146501953	0.740228911719278	ns	P = 0.689	P = 0.74
COAD	Altered intercellular communication	0.740228911719278	0.740228911719278	ns	P = 0.74	P = 0.74
COAD	Chronic inflammation	0.60462678097648	0.725552137171776	ns	P = 0.605	P = 0.726
COAD	Extracellular matrix changes	0.271403139420651	0.407104709130977	ns	P = 0.271	P = 0.407
DLBC	Genomic instability	0.00042949856560221	0.00257699139361326	**	P < 0.001	P = 0.00258
DLBC	Telomere attrition	0.0205148696492044	0.0492356871580905	*	P = 0.0205	P = 0.0492
DLBC	Epigenetic alterations	0.340867860214887	0.409041432257864	ns	P = 0.341	P = 0.409
DLBC	Loss of proteostasis	0.291171026407298	0.388228035209731	ns	P = 0.291	P = 0.388
DLBC	Disabled macroautophagy	0.0355081424433434	0.0710162848866868	ns	P = 0.0355	P = 0.071
DLBC	Deregulated nutrient sensing	0.00148898952399257	0.0044669685719777	**	P = 0.00149	P = 0.00447
DLBC	Mitochondrial dysfunction	0.000329015259622542	0.00257699139361326	**	P < 0.001	P = 0.00258
DLBC	Cellular senescence	0.00108393455071883	0.00433573820287533	**	P = 0.00108	P = 0.00434
DLBC	Stem cell exhaustion	0.206792440630272	0.310188660945408	ns	P = 0.207	P = 0.31
DLBC	Altered intercellular communication	0.846132512586467	0.923053650094327	ns	P = 0.846	P = 0.923
DLBC	Chronic inflammation	0.185272618270148	0.310188660945408	ns	P = 0.185	P = 0.31
DLBC	Extracellular matrix changes	0.975559196195001	0.975559196195001	ns	P = 0.976	P = 0.976
ESCA	Genomic instability	7.82189542735001e-14	9.38627451282001e-13	****	P < 0.001	P < 0.001
ESCA	Telomere attrition	6.81902677680236e-10	4.09141606608142e-09	****	P < 0.001	P < 0.001
ESCA	Epigenetic alterations	0.00227611506120421	0.0054626761468901	**	P = 0.00228	P = 0.00546
ESCA	Loss of proteostasis	0.0406880943970459	0.0610321415955689	ns	P = 0.0407	P = 0.061
ESCA	Disabled macroautophagy	0.376516592114179	0.502022122818905	ns	P = 0.377	P = 0.502
ESCA	Deregulated nutrient sensing	0.636702604584311	0.6803257267334	ns	P = 0.637	P = 0.68
ESCA	Mitochondrial dysfunction	0.6803257267334	0.6803257267334	ns	P = 0.68	P = 0.68
ESCA	Cellular senescence	3.31989635585057e-05	0.000132795854234023	***	P < 0.001	P < 0.001
ESCA	Stem cell exhaustion	0.0348291137282413	0.0610321415955689	ns	P = 0.0348	P = 0.061
ESCA	Altered intercellular communication	0.0406880943970459	0.0610321415955689	ns	P = 0.0407	P = 0.061
ESCA	Chronic inflammation	0.000890716904339769	0.00267215071301931	**	P < 0.001	P = 0.00267
ESCA	Extracellular matrix changes	0.634313879326879	0.6803257267334	ns	P = 0.634	P = 0.68
GBM	Genomic instability	7.34798063203103e-13	8.81757675843723e-12	****	P < 0.001	P < 0.001
GBM	Telomere attrition	5.69249034546503e-08	3.41549420727902e-07	****	P < 0.001	P < 0.001
GBM	Epigenetic alterations	0.000299209803889964	0.000598419607779927	***	P < 0.001	P < 0.001
GBM	Loss of proteostasis	0.0188691054440411	0.0251588072587215	*	P = 0.0189	P = 0.0252
GBM	Disabled macroautophagy	0.242751633177409	0.264819963466264	ns	P = 0.243	P = 0.265
GBM	Deregulated nutrient sensing	0.59671732584529	0.59671732584529	ns	P = 0.597	P = 0.597
GBM	Mitochondrial dysfunction	9.24208054812364e-06	2.21809933154967e-05	****	P < 0.001	P < 0.001
GBM	Cellular senescence	0.00220232009987531	0.00377540588550053	**	P = 0.0022	P = 0.00378
GBM	Stem cell exhaustion	2.59158200104869e-07	1.03663280041948e-06	****	P < 0.001	P < 0.001
GBM	Altered intercellular communication	0.00300886765634909	0.00451330148452363	**	P = 0.00301	P = 0.00451
GBM	Chronic inflammation	1.61902933281296e-06	4.85708799843889e-06	****	P < 0.001	P < 0.001
GBM	Extracellular matrix changes	0.165166915354805	0.198200298425766	ns	P = 0.165	P = 0.198
HNSC	Genomic instability	4.77816982682366e-31	5.7338037921884e-30	****	P < 0.001	P < 0.001
HNSC	Telomere attrition	1.03313831395087e-17	6.19882988370521e-17	****	P < 0.001	P < 0.001
HNSC	Epigenetic alterations	0.00309581500770861	0.00530711144178618	**	P = 0.0031	P = 0.00531
HNSC	Loss of proteostasis	0.000267591619773832	0.000642219887457196	***	P < 0.001	P < 0.001
HNSC	Disabled macroautophagy	0.00838342768563518	0.0111779035808469	*	P = 0.00838	P = 0.0112
HNSC	Deregulated nutrient sensing	0.0246987010808958	0.029638441297075	*	P = 0.0247	P = 0.0296
HNSC	Mitochondrial dysfunction	0.00613978683800404	0.00920968025700606	**	P = 0.00614	P = 0.00921
HNSC	Cellular senescence	1.00196844270598e-12	4.00787377082393e-12	****	P < 0.001	P < 0.001
HNSC	Stem cell exhaustion	0.0420978915256464	0.0459249725734324	*	P = 0.0421	P = 0.0459
HNSC	Altered intercellular communication	8.59189096034244e-05	0.000257756728810273	***	P < 0.001	P < 0.001
HNSC	Chronic inflammation	0.00140440006328399	0.00280880012656799	**	P = 0.0014	P = 0.00281
HNSC	Extracellular matrix changes	0.790838150029846	0.790838150029846	ns	P = 0.791	P = 0.791
KICH	Genomic instability	0.000323721785044647	0.00388466142053576	**	P < 0.001	P = 0.00388
KICH	Telomere attrition	0.0463186694690617	0.0926373389381233	ns	P = 0.0463	P = 0.0926
KICH	Epigenetic alterations	0.193050967329491	0.289576450994236	ns	P = 0.193	P = 0.29
KICH	Loss of proteostasis	0.579461962134773	0.632140322328844	ns	P = 0.579	P = 0.632
KICH	Disabled macroautophagy	0.779326518033962	0.779326518033962	ns	P = 0.779	P = 0.779
KICH	Deregulated nutrient sensing	0.024567294103546	0.0790265039981857	ns	P = 0.0246	P = 0.079
KICH	Mitochondrial dysfunction	0.0263421679993952	0.0790265039981857	ns	P = 0.0263	P = 0.079
KICH	Cellular senescence	0.0147724620629743	0.0790265039981857	ns	P = 0.0148	P = 0.079
KICH	Stem cell exhaustion	0.0369393898682634	0.088654535683832	ns	P = 0.0369	P = 0.0887
KICH	Altered intercellular communication	0.12048092220474	0.206538723779554	ns	P = 0.12	P = 0.207
KICH	Chronic inflammation	0.445291960096585	0.534350352115902	ns	P = 0.445	P = 0.534
KICH	Extracellular matrix changes	0.445291960096585	0.534350352115902	ns	P = 0.445	P = 0.534
KIRC	Genomic instability	5.08748626603084e-08	2.03499450641234e-07	****	P < 0.001	P < 0.001
KIRC	Telomere attrition	0.668753567005081	0.729549345823724	ns	P = 0.669	P = 0.73
KIRC	Epigenetic alterations	0.298389760686229	0.358067712823475	ns	P = 0.298	P = 0.358
KIRC	Loss of proteostasis	7.77842595173743e-10	4.66705557104246e-09	****	P < 0.001	P < 0.001
KIRC	Disabled macroautophagy	0.0801050176071504	0.123404216086936	ns	P = 0.0801	P = 0.123
KIRC	Deregulated nutrient sensing	0.000297156791615356	0.000713176299876855	***	P < 0.001	P < 0.001
KIRC	Mitochondrial dysfunction	1.51782646142278e-23	1.82139175370733e-22	****	P < 0.001	P < 0.001
KIRC	Cellular senescence	0.0563156164600027	0.112631232920005	ns	P = 0.0563	P = 0.113
KIRC	Stem cell exhaustion	2.47765572558172e-05	7.43296717674517e-05	****	P < 0.001	P < 0.001
KIRC	Altered intercellular communication	0.0822694773912906	0.123404216086936	ns	P = 0.0823	P = 0.123
KIRC	Chronic inflammation	0.995274234110879	0.995274234110879	ns	P = 0.995	P = 0.995
