Cancer	Feature	P	FDR	Significance	P_label	FDR_label
OV	log1p_NonSyn_Mutations	0.905568539586624	0.905568539586624	ns	P = 0.906	P = 0.906
OV	log1p_TMB_per_Mb	0.905568539586624	0.905568539586624	ns	P = 0.906	P = 0.906
PAAD	MATH	0.0553110108111302	0.165933032433391	ns	P = 0.0553	P = 0.166
PAAD	log1p_NonSyn_Mutations	0.271017004108825	0.271017004108825	ns	P = 0.271	P = 0.271
PAAD	log1p_TMB_per_Mb	0.271017004108825	0.271017004108825	ns	P = 0.271	P = 0.271
PCPG	MATH	0.757796568602061	0.821195330802317	ns	P = 0.758	P = 0.821
PCPG	log1p_NonSyn_Mutations	0.821195330802317	0.821195330802317	ns	P = 0.821	P = 0.821
PCPG	log1p_TMB_per_Mb	0.821195330802317	0.821195330802317	ns	P = 0.821	P = 0.821
PRAD	MATH	0.676218042995165	0.676218042995165	ns	P = 0.676	P = 0.676
PRAD	log1p_NonSyn_Mutations	0.103442198792496	0.155163298188744	ns	P = 0.103	P = 0.155
PRAD	log1p_TMB_per_Mb	0.103442198792496	0.155163298188744	ns	P = 0.103	P = 0.155
READ	MATH	0.389195498347653	0.389195498347653	ns	P = 0.389	P = 0.389
READ	log1p_NonSyn_Mutations	0.154625419501393	0.23193812925209	ns	P = 0.155	P = 0.232
READ	log1p_TMB_per_Mb	0.154625419501393	0.23193812925209	ns	P = 0.155	P = 0.232
SARC	MATH	0.851389953482648	0.851389953482648	ns	P = 0.851	P = 0.851
SARC	log1p_NonSyn_Mutations	0.057846696778665	0.0867700451679975	ns	P = 0.0578	P = 0.0868
SARC	log1p_TMB_per_Mb	0.057846696778665	0.0867700451679975	ns	P = 0.0578	P = 0.0868
SKCM	MATH	0.623852566229369	0.623852566229369	ns	P = 0.624	P = 0.624
SKCM	log1p_NonSyn_Mutations	0.0242242360091927	0.0363363540137891	*	P = 0.0242	P = 0.0363
SKCM	log1p_TMB_per_Mb	0.0242242360091927	0.0363363540137891	*	P = 0.0242	P = 0.0363
STAD	MATH	0.169965853686351	0.169965853686351	ns	P = 0.17	P = 0.17
STAD	log1p_NonSyn_Mutations	1.48818952672106e-08	2.2322842900816e-08	****	P < 0.001	P < 0.001
STAD	log1p_TMB_per_Mb	1.48818952672106e-08	2.2322842900816e-08	****	P < 0.001	P < 0.001
TGCT	MATH	0.730768599260106	0.730768599260106	ns	P = 0.731	P = 0.731
TGCT	log1p_NonSyn_Mutations	0.686379705455324	0.730768599260106	ns	P = 0.686	P = 0.731
TGCT	log1p_TMB_per_Mb	0.686379705455324	0.730768599260106	ns	P = 0.686	P = 0.731
THCA	MATH	0.0694953308014086	0.0694953308014086	ns	P = 0.0695	P = 0.0695
THCA	log1p_NonSyn_Mutations	0.000614298937681633	0.00092144840652245	***	P < 0.001	P < 0.001
THCA	log1p_TMB_per_Mb	0.000614298937681633	0.00092144840652245	***	P < 0.001	P < 0.001
THYM	MATH	0.258718693899272	0.258718693899272	ns	P = 0.259	P = 0.259
THYM	log1p_NonSyn_Mutations	0.164288924633029	0.246433386949544	ns	P = 0.164	P = 0.246
THYM	log1p_TMB_per_Mb	0.164288924633029	0.246433386949544	ns	P = 0.164	P = 0.246
UCEC	MATH	0.0480644902315143	0.0480644902315143	*	P = 0.0481	P = 0.0481
UCEC	log1p_NonSyn_Mutations	0.00629090458744013	0.00943635688116019	**	P = 0.00629	P = 0.00944
UCEC	log1p_TMB_per_Mb	0.00629090458744013	0.00943635688116019	**	P = 0.00629	P = 0.00944
UCS	MATH	0.595503903988151	0.595503903988151	ns	P = 0.596	P = 0.596
UCS	log1p_NonSyn_Mutations	0.221731496443818	0.332597244665727	ns	P = 0.222	P = 0.333
UCS	log1p_TMB_per_Mb	0.221731496443818	0.332597244665727	ns	P = 0.222	P = 0.333
