Cancer	Feature	P	FDR	Significance	P_label	FDR_label
ACC	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_UV_RESPONSE_DN	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_UV_RESPONSE_UP	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
ACC	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.000700210063018906	0.000921329030288034	***	P < 0.001	P < 0.001
ACC	HALLMARK_XENOBIOTIC_METABOLISM	9.99900009999e-05	0.000138888888888889	***	P < 0.001	P < 0.001
BLCA	HALLMARK_ADIPOGENESIS	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_ALLOGRAFT_REJECTION	0.233376662333767	0.291720827917208	ns	P = 0.233	P = 0.292
BLCA	HALLMARK_ANDROGEN_RESPONSE	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_ANGIOGENESIS	0.979156228078966	1	ns	P = 0.979	P = 1
BLCA	HALLMARK_APICAL_JUNCTION	0.0001999800019998	0.00041662500416625	***	P < 0.001	P < 0.001
BLCA	HALLMARK_APICAL_SURFACE	0.360980490245123	0.41995800419958	ns	P = 0.361	P = 0.42
BLCA	HALLMARK_APOPTOSIS	0.0004999500049995	0.000999900009999	***	P < 0.001	P < 0.001
BLCA	HALLMARK_BILE_ACID_METABOLISM	0.0301969803019698	0.0419402504194025	*	P = 0.0302	P = 0.0419
BLCA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.003	0.00483870967741936	**	P = 0.003	P = 0.00484
BLCA	HALLMARK_COAGULATION	0.999500049995001	1	ns	P = 1	P = 1
BLCA	HALLMARK_COMPLEMENT	0.0204979502049795	0.0301440444190875	*	P = 0.0205	P = 0.0301
BLCA	HALLMARK_DNA_REPAIR	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_E2F_TARGETS	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1	1	ns	P = 1	P = 1
BLCA	HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0015998400159984	0.002666400026664	**	P = 0.0016	P = 0.00267
BLCA	HALLMARK_ESTROGEN_RESPONSE_LATE	0.0243975602439756	0.0348536574913937	*	P = 0.0244	P = 0.0349
BLCA	HALLMARK_FATTY_ACID_METABOLISM	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_G2M_CHECKPOINT	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_GLYCOLYSIS	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_HEDGEHOG_SIGNALING	0.124561579316565	0.163896814890217	ns	P = 0.125	P = 0.164
BLCA	HALLMARK_HEME_METABOLISM	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_HYPOXIA	0.0005999400059994	0.00111100001111	**	P < 0.001	P = 0.00111
BLCA	HALLMARK_IL2_STAT5_SIGNALING	0.0005999400059994	0.00111100001111	**	P < 0.001	P = 0.00111
BLCA	HALLMARK_IL6_JAK_STAT3_SIGNALING	0.213578642135786	0.273818771968957	ns	P = 0.214	P = 0.274
BLCA	HALLMARK_INFLAMMATORY_RESPONSE	0.310768923107689	0.378986491594743	ns	P = 0.311	P = 0.379
BLCA	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0001999800019998	0.00041662500416625	***	P < 0.001	P < 0.001
BLCA	HALLMARK_INTERFERON_GAMMA_RESPONSE	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_KRAS_SIGNALING_DN	0.656334366563344	0.729260407292604	ns	P = 0.656	P = 0.729
BLCA	HALLMARK_KRAS_SIGNALING_UP	0.361163883611639	0.41995800419958	ns	P = 0.361	P = 0.42
BLCA	HALLMARK_MITOTIC_SPINDLE	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_MTORC1_SIGNALING	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_MYC_TARGETS_V1	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_MYC_TARGETS_V2	0.000100030009002701	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_MYOGENESIS	0.991900809919008	1	ns	P = 0.992	P = 1
BLCA	HALLMARK_NOTCH_SIGNALING	0.0100260677762182	0.0151910117821487	*	P = 0.01	P = 0.0152
BLCA	HALLMARK_OXIDATIVE_PHOSPHORYLATION	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_P53_PATHWAY	0.0012998700129987	0.00232119645178339	**	P = 0.0013	P = 0.00232
BLCA	HALLMARK_PANCREAS_BETA_CELLS	0.388404926404326	0.44136923455037	ns	P = 0.388	P = 0.441
BLCA	HALLMARK_PEROXISOME	0.0001999800019998	0.00041662500416625	***	P < 0.001	P < 0.001
BLCA	HALLMARK_PI3K_AKT_MTOR_SIGNALING	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_PROTEIN_SECRETION	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.00140070035017509	0.00241500060375015	**	P = 0.0014	P = 0.00242
BLCA	HALLMARK_SPERMATOGENESIS	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_TGF_BETA_SIGNALING	0.000100040016006403	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.679332066793321	0.738404420427522	ns	P = 0.679	P = 0.738
BLCA	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_UV_RESPONSE_DN	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_UV_RESPONSE_UP	9.99900009999e-05	0.000238190514300959	***	P < 0.001	P < 0.001
BLCA	HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.00590531478330497	0.00922705434891402	**	P = 0.00591	P = 0.00923
BLCA	HALLMARK_XENOBIOTIC_METABOLISM	0.0435956404359564	0.0589130276161573	ns	P = 0.0436	P = 0.0589
BRCA	HALLMARK_ADIPOGENESIS	0.0005999400059994	0.00130421740434652	**	P < 0.001	P = 0.0013
BRCA	HALLMARK_ALLOGRAFT_REJECTION	0.97960203979602	1	ns	P = 0.98	P = 1
BRCA	HALLMARK_ANDROGEN_RESPONSE	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_ANGIOGENESIS	0.887841091492777	0.986490101658641	ns	P = 0.888	P = 0.986
BRCA	HALLMARK_APICAL_JUNCTION	0.0205979402059794	0.0332224842031926	*	P = 0.0206	P = 0.0332
BRCA	HALLMARK_APICAL_SURFACE	0.187324789747697	0.260173319094024	ns	P = 0.187	P = 0.26
BRCA	HALLMARK_APOPTOSIS	0.0067993200679932	0.0121416429785593	*	P = 0.0068	P = 0.0121
BRCA	HALLMARK_BILE_ACID_METABOLISM	0.0063993600639936	0.0118506667851733	*	P = 0.0064	P = 0.0119
BRCA	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.0196980301969803	0.0328300503283005	*	P = 0.0197	P = 0.0328
BRCA	HALLMARK_COAGULATION	1	1	ns	P = 1	P = 1
BRCA	HALLMARK_COMPLEMENT	0.0520947905209479	0.0813981101889811	ns	P = 0.0521	P = 0.0814
BRCA	HALLMARK_DNA_REPAIR	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_E2F_TARGETS	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.999900009999	1	ns	P = 1	P = 1
BRCA	HALLMARK_ESTROGEN_RESPONSE_EARLY	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_ESTROGEN_RESPONSE_LATE	0.0018998100189981	0.0037996200379962	**	P = 0.0019	P = 0.0038
BRCA	HALLMARK_FATTY_ACID_METABOLISM	0.0002999700029997	0.000714214292856429	***	P < 0.001	P < 0.001
BRCA	HALLMARK_G2M_CHECKPOINT	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_GLYCOLYSIS	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
BRCA	HALLMARK_HEDGEHOG_SIGNALING	0.153992776886035	0.226459966008876	ns	P = 0.154	P = 0.226
BRCA	HALLMARK_HEME_METABOLISM	9.99900009999e-05	0.000263315884267403	***	P < 0.001	P < 0.001
