Cancer	Feature	P	FDR	Significance	P_label	FDR_label
DLBC	NHEJ	0.00235418288422422	0.00353127432633633	**	P = 0.00235	P = 0.00353
DLBC	Replication stress	0.00553034220255761	0.00711043997471692	**	P = 0.00553	P = 0.00711
DLBC	TLS	8.86689760919664e-08	7.98020784827697e-07	****	P < 0.001	P < 0.001
ESCA	BER	6.56228091401037e-09	9.84342137101555e-09	****	P < 0.001	P < 0.001
ESCA	DNA damage checkpoint	6.77359659489579e-17	3.04811846770311e-16	****	P < 0.001	P < 0.001
ESCA	FA	3.95665383444693e-16	8.90247112750559e-16	****	P < 0.001	P < 0.001
ESCA	HR	2.91653995996235e-16	8.74961987988706e-16	****	P < 0.001	P < 0.001
ESCA	MMR	6.09856502324057e-19	5.48870852091651e-18	****	P < 0.001	P < 0.001
ESCA	NER	4.7705874095918e-05	4.7705874095918e-05	****	P < 0.001	P < 0.001
ESCA	NHEJ	1.3861684496677e-06	1.55943950587617e-06	****	P < 0.001	P < 0.001
ESCA	Replication stress	6.38942247886262e-13	1.15009604619527e-12	****	P < 0.001	P < 0.001
ESCA	TLS	1.02212716510251e-07	1.31416349798895e-07	****	P < 0.001	P < 0.001
GBM	BER	1.67592473927523e-07	2.15476037906815e-07	****	P < 0.001	P < 0.001
GBM	DNA damage checkpoint	2.6677097482369e-19	2.40093877341321e-18	****	P < 0.001	P < 0.001
GBM	FA	6.62065568454184e-15	1.48964752902191e-14	****	P < 0.001	P < 0.001
GBM	HR	2.91950975343074e-18	1.31377938904383e-17	****	P < 0.001	P < 0.001
GBM	MMR	3.06511993906943e-17	9.19535981720829e-17	****	P < 0.001	P < 0.001
GBM	NER	1.17271697153226e-06	1.31930659297379e-06	****	P < 0.001	P < 0.001
GBM	NHEJ	3.73752614738641e-05	3.73752614738641e-05	****	P < 0.001	P < 0.001
GBM	Replication stress	9.02992098415422e-12	1.35448814762313e-11	****	P < 0.001	P < 0.001
GBM	TLS	4.36285056547498e-13	7.85313101785497e-13	****	P < 0.001	P < 0.001
HNSC	BER	1.04693067259648e-13	1.17779700667104e-13	****	P < 0.001	P < 0.001
HNSC	DNA damage checkpoint	1.22684647087181e-51	1.10416182378463e-50	****	P < 0.001	P < 0.001
HNSC	FA	8.01963172512496e-42	1.80441713815312e-41	****	P < 0.001	P < 0.001
HNSC	HR	1.50925287877062e-43	4.52775863631185e-43	****	P < 0.001	P < 0.001
HNSC	MMR	6.08139542064781e-48	2.73662793929151e-47	****	P < 0.001	P < 0.001
HNSC	NER	1.24412758256194e-05	1.24412758256194e-05	****	P < 0.001	P < 0.001
HNSC	NHEJ	7.65773552591594e-14	9.84565996189192e-14	****	P < 0.001	P < 0.001
HNSC	Replication stress	1.24643260440029e-28	1.86964890660044e-28	****	P < 0.001	P < 0.001
HNSC	TLS	1.46956532610514e-33	2.64521758698925e-33	****	P < 0.001	P < 0.001
KICH	BER	0.942867651079664	0.942867651079664	ns	P = 0.943	P = 0.943
KICH	DNA damage checkpoint	4.45443783482314e-07	1.33633135044694e-06	****	P < 0.001	P < 0.001
KICH	FA	0.0611993985716068	0.0688493233930576	ns	P = 0.0612	P = 0.0688
KICH	HR	5.49590392162985e-06	1.23657838236672e-05	****	P < 0.001	P < 0.001
KICH	MMR	1.23156659024511e-09	1.1084099312206e-08	****	P < 0.001	P < 0.001
KICH	NER	2.89971385152439e-05	5.21948493274391e-05	****	P < 0.001	P < 0.001
KICH	NHEJ	0.000759529140023609	0.00113929371003541	**	P < 0.001	P = 0.00114
KICH	Replication stress	0.00856348162523989	0.0110101906610227	*	P = 0.00856	P = 0.011
KICH	TLS	2.93051690417967e-08	1.31873260688085e-07	****	P < 0.001	P < 0.001
KIRC	BER	0.0255904754854476	0.0255904754854476	*	P = 0.0256	P = 0.0256
KIRC	DNA damage checkpoint	1.48223114260871e-21	6.6700401417392e-21	****	P < 0.001	P < 0.001
KIRC	FA	1.02632650353225e-08	1.53948975529837e-08	****	P < 0.001	P < 0.001
KIRC	HR	2.99976758135134e-18	6.74947705804051e-18	****	P < 0.001	P < 0.001
KIRC	MMR	2.20195713110259e-18	6.60587139330776e-18	****	P < 0.001	P < 0.001
KIRC	NER	1.33128041116818e-07	1.71164624293052e-07	****	P < 0.001	P < 0.001
KIRC	NHEJ	0.00260068712070399	0.00292577301079199	**	P = 0.0026	P = 0.00293
KIRC	Replication stress	9.19033254058041e-10	1.65425985730447e-09	****	P < 0.001	P < 0.001
KIRC	TLS	1.6763522727369e-32	1.50871704546321e-31	****	P < 0.001	P < 0.001
KIRP	BER	0.0113847242535784	0.0113847242535784	*	P = 0.0114	P = 0.0114
KIRP	DNA damage checkpoint	2.18269146953526e-13	1.96442232258174e-12	****	P < 0.001	P < 0.001
KIRP	FA	3.37149466453461e-06	4.33477885440164e-06	****	P < 0.001	P < 0.001
KIRP	HR	1.03913039365114e-09	2.33804338571507e-09	****	P < 0.001	P < 0.001
KIRP	MMR	5.80662687173446e-11	1.74198806152034e-10	****	P < 0.001	P < 0.001
KIRP	NER	0.000106571661692394	0.000119893119403944	***	P < 0.001	P < 0.001
KIRP	NHEJ	1.20718608135475e-07	1.81077912203213e-07	****	P < 0.001	P < 0.001
KIRP	Replication stress	1.64920645071498e-09	2.96857161128697e-09	****	P < 0.001	P < 0.001
KIRP	TLS	3.56660016103637e-12	1.60497007246637e-11	****	P < 0.001	P < 0.001
LAML	BER	0.00823242458298909	0.00823242458298909	**	P = 0.00823	P = 0.00823
LAML	DNA damage checkpoint	4.43210570641825e-08	1.32963171192547e-07	****	P < 0.001	P < 0.001
LAML	FA	4.92587184305015e-07	1.10832116468628e-06	****	P < 0.001	P < 0.001
LAML	HR	2.59911260710597e-05	3.89866891065895e-05	****	P < 0.001	P < 0.001
LAML	MMR	1.71944815673547e-08	7.73751670530961e-08	****	P < 0.001	P < 0.001
LAML	NER	1.17230007258489e-05	2.11014013065281e-05	****	P < 0.001	P < 0.001
LAML	NHEJ	0.00127641758011574	0.00164110831729167	**	P = 0.00128	P = 0.00164
LAML	Replication stress	0.00161285052338847	0.00181445683881203	**	P = 0.00161	P = 0.00181
LAML	TLS	1.92403420484641e-10	1.73163078436177e-09	****	P < 0.001	P < 0.001
LGG	BER	3.08112163059571e-13	3.08112163059571e-13	****	P < 0.001	P < 0.001
LGG	DNA damage checkpoint	7.14024262100576e-53	6.42621835890518e-52	****	P < 0.001	P < 0.001
LGG	FA	3.63156343991046e-39	8.17101773979854e-39	****	P < 0.001	P < 0.001
LGG	HR	8.22005837329423e-44	3.6990262679824e-43	****	P < 0.001	P < 0.001
LGG	MMR	6.3928833874583e-40	1.91786501623749e-39	****	P < 0.001	P < 0.001
LGG	NER	3.85189983949873e-16	4.33338731943607e-16	****	P < 0.001	P < 0.001
LGG	NHEJ	4.41884638674693e-35	5.68137392581748e-35	****	P < 0.001	P < 0.001
