Cancer,Feature,OddsRatio,LogOR,CI_Low,CI_High,P,FDR,Significance,Low_Responder,Low_Total,Low_Responder_Percent,High_Responder,High_Total,High_Responder_Percent,Direction,SigLabel
BLCA,Responder,2.05592014049358,0.720723504666157,1.07496901150873,3.93202741552033,0.0369682185702172,0.0369682185702172,*,174,203,85.7142857142857,188,203,92.6108374384236,High enriched for predicted responders,*
BRCA,Responder,6.8796169630643,1.92856297642219,3.30238723866977,14.3317927722936,6.24132133661552e-10,6.24132133661552e-10,****,494,547,90.3107861060329,540,548,98.5401459854015,High enriched for predicted responders,****
ESCA,Responder,14.5607235142119,2.67832773344409,2.66167301952987,79.6546637027455,6.27710417361525e-05,6.27710417361525e-05,****,64,81,79.0123456790123,80,81,98.7654320987654,High enriched for predicted responders,****
HNSC,Responder,2.39521605605779,0.873473438091699,1.49047417341861,3.84915086588738,0.000314430079126223,0.000314430079126223,***,189,251,75.2988047808765,221,251,88.0478087649403,High enriched for predicted responders,***
LUAD,Responder,3.32189382266424,1.20053504880922,2.08330233498605,5.29686852634797,2.08431636411571e-07,2.08431636411571e-07,****,181,258,70.1550387596899,229,258,88.7596899224806,High enriched for predicted responders,****
SKCM,Responder,4.62559289534766,1.53160455633698,2.46265797424291,8.68821811931417,1.82801862626864e-07,1.82801862626864e-07,****,183,234,78.2051282051282,222,235,94.468085106383,High enriched for predicted responders,****
STAD,Responder,3.96164961337187,1.3766605075589,2.43213550521633,6.45303998295665,8.28883050834344e-09,8.28883050834344e-09,****,108,187,57.7540106951872,159,188,84.5744680851064,High enriched for predicted responders,****
UCEC,Responder,46.7614314115308,3.8450587480158,2.81772772507672,776.02652953126,3.06933970208984e-07,3.06933970208984e-07,****,251,272,92.2794117647059,273,273,100,High enriched for predicted responders,****
