Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
ACC,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JR-01A,ESTIMATEScore,-460.289043816559,Low,ESTIMATEScore
ACC,TCGA-OR-A5JR-01A-11R-A29S-07,TCGA-OR-A5JR-01A,TumorPurity,0.859031216215595,Low,TumorPurity
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,StromalScore,-1038.78317751946,Low,StromalScore
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,ImmuneScore,-559.02358334301,Low,ImmuneScore
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,ESTIMATEScore,-1597.80676086247,Low,ESTIMATEScore
ACC,TCGA-OR-A5LT-01A-11R-A29S-07,TCGA-OR-A5LT-01A,TumorPurity,0.932165355548075,Low,TumorPurity
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,StromalScore,-893.503278019274,Low,StromalScore
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,ImmuneScore,-286.362633727435,Low,ImmuneScore
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,ESTIMATEScore,-1179.86591174671,Low,ESTIMATEScore
ACC,TCGA-OR-A5K8-01A-11R-A29S-07,TCGA-OR-A5K8-01A,TumorPurity,0.908215344578265,Low,TumorPurity
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,StromalScore,-401.982292739709,High,StromalScore
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,ImmuneScore,-642.91745154475,High,ImmuneScore
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,ESTIMATEScore,-1044.89974428446,High,ESTIMATEScore
ACC,TCGA-OU-A5PI-01A-12R-A29S-07,TCGA-OU-A5PI-01A,TumorPurity,0.899746496415304,High,TumorPurity
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,StromalScore,-378.488924987466,Low,StromalScore
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,ImmuneScore,341.272358451269,Low,ImmuneScore
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,ESTIMATEScore,-37.2165665361969,Low,ESTIMATEScore
ACC,TCGA-OR-A5LG-01A-11R-A29S-07,TCGA-OR-A5LG-01A,TumorPurity,0.825604154924757,Low,TumorPurity
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,StromalScore,-1179.58170524674,High,StromalScore
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,ImmuneScore,-774.687824548161,High,ImmuneScore
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,ESTIMATEScore,-1954.2695297949,High,ESTIMATEScore
ACC,TCGA-OR-A5LS-01A-11R-A29S-07,TCGA-OR-A5LS-01A,TumorPurity,0.949824154391217,High,TumorPurity
ACC,TCGA-OR-A5LD-01A-11R-A29S-07,TCGA-OR-A5LD-01A,StromalScore,-1017.06551317572,Low,StromalScore
ACC,TCGA-OR-A5LD-01A-11R-A29S-07,TCGA-OR-A5LD-01A,ImmuneScore,-817.593622793145,Low,ImmuneScore
ACC,TCGA-OR-A5LD-01A-11R-A29S-07,TCGA-OR-A5LD-01A,ESTIMATEScore,-1834.65913596887,Low,ESTIMATEScore
ACC,TCGA-OR-A5LD-01A-11R-A29S-07,TCGA-OR-A5LD-01A,TumorPurity,0.944186356087986,Low,TumorPurity
ACC,TCGA-OR-A5LC-01A-11R-A29S-07,TCGA-OR-A5LC-01A,StromalScore,-420.654089687471,High,StromalScore
ACC,TCGA-OR-A5LC-01A-11R-A29S-07,TCGA-OR-A5LC-01A,ImmuneScore,-347.041052206529,High,ImmuneScore
ACC,TCGA-OR-A5LC-01A-11R-A29S-07,TCGA-OR-A5LC-01A,ESTIMATEScore,-767.695141894,High,ESTIMATEScore
ACC,TCGA-OR-A5LC-01A-11R-A29S-07,TCGA-OR-A5LC-01A,TumorPurity,0.881248814028007,High,TumorPurity
ACC,TCGA-OR-A5L6-01A-11R-A29S-07,TCGA-OR-A5L6-01A,StromalScore,-634.057123238293,Low,StromalScore
ACC,TCGA-OR-A5L6-01A-11R-A29S-07,TCGA-OR-A5L6-01A,ImmuneScore,304.705702596577,Low,ImmuneScore
ACC,TCGA-OR-A5L6-01A-11R-A29S-07,TCGA-OR-A5L6-01A,ESTIMATEScore,-329.351420641716,Low,ESTIMATEScore
ACC,TCGA-OR-A5L6-01A-11R-A29S-07,TCGA-OR-A5L6-01A,TumorPurity,0.849033930537949,Low,TumorPurity
ACC,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JQ-01A,StromalScore,101.685009195258,High,StromalScore
ACC,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JQ-01A,ImmuneScore,740.187995273142,High,ImmuneScore
ACC,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JQ-01A,ESTIMATEScore,841.873004468401,High,ESTIMATEScore
ACC,TCGA-OR-A5JQ-01A-11R-A29S-07,TCGA-OR-A5JQ-01A,TumorPurity,0.746130996756194,High,TumorPurity
ACC,TCGA-OR-A5LO-01A-11R-A29S-07,TCGA-OR-A5LO-01A,StromalScore,-1278.61732756467,Low,StromalScore
ACC,TCGA-OR-A5LO-01A-11R-A29S-07,TCGA-OR-A5LO-01A,ImmuneScore,-1132.42500034884,Low,ImmuneScore
ACC,TCGA-OR-A5LO-01A-11R-A29S-07,TCGA-OR-A5LO-01A,ESTIMATEScore,-2411.04232791351,Low,ESTIMATEScore
ACC,TCGA-OR-A5LO-01A-11R-A29S-07,TCGA-OR-A5LO-01A,TumorPurity,0.9686461123055,Low,TumorPurity
ACC,TCGA-PK-A5HA-01A-11R-A29S-07,TCGA-PK-A5HA-01A,StromalScore,204.547659762231,Low,StromalScore
ACC,TCGA-PK-A5HA-01A-11R-A29S-07,TCGA-PK-A5HA-01A,ImmuneScore,966.136721619083,Low,ImmuneScore
ACC,TCGA-PK-A5HA-01A-11R-A29S-07,TCGA-PK-A5HA-01A,ESTIMATEScore,1170.68438138131,Low,ESTIMATEScore
ACC,TCGA-PK-A5HA-01A-11R-A29S-07,TCGA-PK-A5HA-01A,TumorPurity,0.713139295666178,Low,TumorPurity
ACC,TCGA-OR-A5L8-01A-11R-A29S-07,TCGA-OR-A5L8-01A,StromalScore,-751.849344027126,High,StromalScore
ACC,TCGA-OR-A5L8-01A-11R-A29S-07,TCGA-OR-A5L8-01A,ImmuneScore,-961.100556074369,High,ImmuneScore
ACC,TCGA-OR-A5L8-01A-11R-A29S-07,TCGA-OR-A5L8-01A,ESTIMATEScore,-1712.9499001015,High,ESTIMATEScore
ACC,TCGA-OR-A5L8-01A-11R-A29S-07,TCGA-OR-A5L8-01A,TumorPurity,0.938150884647085,High,TumorPurity
ACC,TCGA-OR-A5L3-01A-11R-A29S-07,TCGA-OR-A5L3-01A,StromalScore,-929.723414761099,Low,StromalScore
ACC,TCGA-OR-A5L3-01A-11R-A29S-07,TCGA-OR-A5L3-01A,ImmuneScore,-169.545842230299,Low,ImmuneScore
ACC,TCGA-OR-A5L3-01A-11R-A29S-07,TCGA-OR-A5L3-01A,ESTIMATEScore,-1099.2692569914,Low,ESTIMATEScore
ACC,TCGA-OR-A5L3-01A-11R-A29S-07,TCGA-OR-A5L3-01A,TumorPurity,0.903200735937705,Low,TumorPurity
ACC,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KY-01A,StromalScore,-285.529926720838,High,StromalScore
ACC,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KY-01A,ImmuneScore,-73.5181276017588,High,ImmuneScore
ACC,TCGA-OR-A5KY-01A-11R-A29S-07,TCGA-OR-A5KY-01A,ESTIMATEScore,-359.048054322597,High,ESTIMATEScore
