Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Direction
KIRC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,306,307,0.013323914599485,0.0188361990340208,0.00551228443453579,1.37467570202755e-06,6.87337851013775e-06,****,P=1.37e-06,FDR=6.87e-06,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-0.178177404041137,0.372901328596512,0.55107873263765,Higher in High
KIRC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,TAMM2,266,266,-0.0117563586080741,-0.0137861068442685,-0.00202974823619445,0.00159760509905484,0.00399401274763711,**,P=0.0016,FDR=0.00399,TAM M2__TIDEpy,**,TAM M2,4,-0.00146509210153543,0.00972154656472386,-1.05860383818786,-1.2673924524974,-0.208788614309544,Higher in Low
KIRC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,DYSFUNCTION,266,266,-0.0740723091809764,-0.0884291563127808,-0.0143568471318044,0.0032909196754803,0.0054848661258005,**,P=0.00329,FDR=0.00548,Dysfunction__TIDEpy,**,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.499199592250706,0.354962033703221,-0.144237558547486,Higher in Low
KIRC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,MDSC,266,266,0.0145808830187733,0.0185793347061559,0.0039984516873826,0.0054153954337945,0.00676924429224313,**,P=0.00542,FDR=0.00677,MDSC__TIDEpy,**,MDSC,2,0.0239026364702057,0.0162518795004761,-0.573580025077058,-0.327549915927808,0.246030109149251,Higher in High
KIRP,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,DYSFUNCTION,145,145,-0.0991377058195636,-0.172762181615818,-0.0736244757962544,1.59373345651619e-11,7.96866728258093e-11,****,P=1.59e-11,FDR=7.97e-11,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.247377476852881,-0.492298479901249,-0.73967595675413,Higher in Low
KIRP,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,MDSC,145,145,-0.000398714094730744,0.00947128510918472,0.00986999920391546,5.25471219164557e-06,1.31367804791139e-05,****,P=5.25e-06,FDR=1.31e-05,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-1.49529477893462,-0.887980455466596,0.607314323468023,Higher in High
KIRP,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,TAMM2,145,145,-0.00629605418060469,-0.00912887772356658,-0.00283282354296189,3.76241601828009e-05,6.27069336380015e-05,****,P=3.76e-05,FDR=6.27e-05,TAM M2__TIDEpy,****,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.496933491693508,-0.788329878482543,-0.291396386789035,Higher in Low
KIRP,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,159,164,0.00277135476729817,0.00480788638565752,0.00203653161835935,0.000100279722856376,0.00012534965357047,***,P=1.00e-04,FDR=1.25e-04,Tregs_quantiseq__quanTIseq,***,Tregs,3,0.0151061726920464,0.0100027166865107,-1.23314678515113,-1.02954893446865,0.203597850682479,Higher in High
LUAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,MDSC,258,258,0.00127218035947591,0.0130782757724466,0.0118060954129707,1.6392331954065e-22,8.19616597703251e-22,****,P=1.64e-22,FDR=8.20e-22,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-1.39248239627096,-0.66603746953957,0.726444926731388,Higher in High
LUAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,DYSFUNCTION,258,258,-0.0798056924969114,-0.203762030609039,-0.123956338112127,1.27943548306579e-17,3.19858870766447e-17,****,P=1.28e-17,FDR=3.20e-17,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.441598560205489,-0.803741688362922,-1.24534024856841,Higher in Low
