Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,EffectScaledWithinFeature,PlotValue
UCEC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,280,297,542.042894643079,94.6223479799793,-447.4205466631,4.26910523918672e-14,1.70764209567469e-13,****,P=4.27e-14,FDR=1.71e-13,ImmuneScore,-0.901023436618059,-0.901023436618059
LUAD,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,298,299,1810.20505634334,1481.48753006183,-328.71752628151,1.96808775342703e-05,3.11531674067401e-05,****,P=1.97e-05,FDR=3.12e-05,ImmuneScore,-0.312287250256138,-0.312287250256138
BRCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,605,621,791.386489550944,566.256901528642,-225.129588022302,5.43991129344688e-09,5.43991129344688e-09,****,P=5.44e-09,FDR=5.44e-09,ImmuneScore,0.201482050034378,0.201482050034378
BLCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,212,219,561.47089460835,411.446266086283,-150.024628522067,0.033700539266414,0.033700539266414,*,P=0.0337,FDR=0.0337,ImmuneScore,0.573983164925071,0.573983164925071
THCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,287,284,550.955483673838,125.097283957768,-425.85819971607,3.9484910969136e-08,1.57939643876544e-07,****,P=3.95e-08,FDR=1.58e-07,ImmuneScore,-0.794079789608923,-0.794079789608923
ESCA,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,87,84,577.435062410199,222.924274619979,-354.51078779022,0.000796659253000379,0.00318663701200151,**,P=7.97e-04,FDR=0.00319,ImmuneScore,-0.440215135879078,-0.440215135879078
KIRP,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,159,164,712.959488680778,390.955073007201,-322.004415673578,4.69044851374579e-05,0.000187617940549831,***,P=4.69e-05,FDR=1.88e-04,ImmuneScore,-0.278991963200808,-0.278991963200808
HNSC,ImmuneScore_estimate,Immunescore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),IMMUNESCOREESTIMATE,275,272,975.592803629445,747.256276595391,-228.336527034055,0.00376589787803726,0.0150635915121491,*,P=0.00377,FDR=0.0151,ImmuneScore,0.185576464501632,0.185576464501632
TGCT,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,77,79,53.6962732691478,-468.265987244622,-521.96226051377,2.98367467422931e-06,6.4200821297423e-06,****,P=2.98e-06,FDR=6.42e-06,StromalScore,-2.04044291022556,-2.04044291022556
GBM,StromalScore_estimate,Stromalscore Estimate,Global TME,ESTIMATE,IOBR::deconvo_tme(method='estimate'),STROMALSCOREESTIMATE,85,84,201.583400263913,-274.454605860499,-476.038006124412,4.47516318100125e-09,4.47516318100125e-09,****,P=4.48e-09,FDR=4.48e-09,StromalScore,-1.7964198121091,-1.7964198121091
