Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display_Full,.center,.scale,Low_Z,High_Z,Diff_Z
ACC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,39,40,25.723075,45.82009375,20.09701875,0.000841177407239029,0.0117764837013464,***,P=8.41e-04,FDR=0.0118,Fibroblasts_MCPcounter__MCP-counter,*,Fibroblasts (MCP-counter),259.138346022727,349.011119540398,-0.668790356393528,-0.611207610100329,0.0575827462931987
ACC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,39,40,8.36548,11.27619,2.91071,0.00481480942493943,0.033703665974576,**,P=0.00481,FDR=0.0337,Endothelial_cells_MCPcounter__MCP-counter,*,Endothelial cells (MCP-counter),12.3950152777778,10.2497295613193,-0.393135765550785,-0.109156565652232,0.283979199898553
ACC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,EXCLUSION,39,40,0.744215327579744,0.798608360210599,0.054393032630855,0.0169535318126705,0.0791164817924624,*,P=0.017,FDR=0.0791,Exclusion__TIDEpy,"",Exclusion score,0.537119407403492,0.308594240987186,0.671094572321757,0.847355258382693,0.176260686060936
ACC,CAFs_EPIC,CAFs,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),CAFS,39,40,0.0079450775336727,0.0102471859211012,0.00230210838742849,0.0604068889051667,0.211424111168083,ns,P=0.0604,FDR=0.211,CAFs_EPIC__EPIC,"",CAF (EPIC),0.088831822107562,0.12309259128643,-0.65712114537966,-0.638418895606791,0.0187022497728691
ACC,Endothelial_EPIC,Endothelial,Immune exclusion,EPIC,IOBR::deconvo_tme(method='epic'),ENDOTHELIAL,39,40,0.0879645939034571,0.0656546006294276,-0.0223099932740296,0.0888852655713101,0.248878743599668,ns,P=0.0889,FDR=0.249,Endothelial_EPIC__EPIC,"",Endothelial cells (EPIC),0.0612973473269265,0.0587492128173635,0.453916661988856,0.0741670074124514,-0.379749654576405
ACC,Endothelial_cells_xCell,Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),ENDOTHELIALCELLS,39,40,0,0,0,0.27507139498775,0.641833254971417,ns,P=0.275,FDR=0.642,Endothelial_cells_xCell__xCell,"",Endothelial cells (xCell),8.48609139410227e-24,1.54017961836129e-23,-0.550980631929881,-0.550980631929881,0
ACC,HALLMARK_HYPOXIA,Hypoxia,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),HYPOXIA,39,40,0.337602168003623,0.338264215611852,0.000662047608228744,0.329224170598191,0.658448341196381,ns,P=0.329,FDR=0.658,HALLMARK_HYPOXIA__MSigDB Hallmark ssGSEA,"",Hypoxia,0.190405680387632,0.132185368961237,1.1135611208163,1.11856959954153,0.00500847872522958
ACC,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ACC/ACC_TIDE_score_long.csv,CAF,39,40,0.0782312384547418,0.0800355111358811,0.00180427268113931,0.424189960137629,0.720083838120083,ns,P=0.424,FDR=0.72,CAF__TIDEpy,"",CAF,0.0487890973774074,0.0380241680922562,0.774300729102088,0.821751410383575,0.0474506812814861
ACC,Fibroblasts_xCell,Fibroblasts,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),FIBROBLASTS,39,40,3.40681266074198e-22,1.94504650925439e-22,-1.4617661514876e-22,0.478293161285748,0.720083838120083,ns,P=0.478,FDR=0.72,Fibroblasts_xCell__xCell,"",Fibroblasts (xCell),2.86657311927335e-22,2.57576600525338e-22,0.209739370877164,-0.357767983636506,-0.56750735451367
ACC,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,39,40,0.127415299504246,0.151367337256806,0.0239520377525605,0.514345598657202,0.720083838120083,ns,P=0.514,FDR=0.72,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION__MSigDB Hallmark ssGSEA,"",EMT,0.241641011165224,0.174611943421512,-0.654168949859507,-0.516995986296871,0.137172963562636
ACC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,39,40,0.388403813543365,0.412510036211939,0.0241062226685746,0.757410595240049,0.891918361070987,ns,P=0.757,FDR=0.892,HALLMARK_TGF_BETA_SIGNALING__MSigDB Hallmark ssGSEA,"",TGF-beta signaling,0.400800247476954,0.124292585081538,-0.0997359088271959,0.0942114827469662,0.193947391574162
ACC,ly_Endothelial_cells_xCell,Ly Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,39,40,1.27178233137166e-24,0,-1.27178233137166e-24,0.76450145234656,0.891918361070987,ns,P=0.765,FDR=0.892,ly_Endothelial_cells_xCell__xCell,"",Lymphatic endothelial cells,5.52469209073041e-24,8.65602505201989e-24,-0.491323642641992,-0.638248163276887,-0.146924520634894
ACC,HALLMARK_ANGIOGENESIS,Angiogenesis,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),ANGIOGENESIS,39,40,0.328075900563709,0.32573560741043,-0.00234029315327905,0.964803864014453,0.987611378921674,ns,P=0.965,FDR=0.988,HALLMARK_ANGIOGENESIS__MSigDB Hallmark ssGSEA,"",Angiogenesis,0.174846176638343,0.12138877270804,1.26230557000448,1.24302624868777,-0.0192793213167068
ACC,mv_Endothelial_cells_xCell,Mv Endothelial Cells,Immune exclusion,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,39,40,1.80511268094916e-23,0,-1.80511268094916e-23,0.987611378921674,0.987611378921674,ns,P=0.988,FDR=0.988,mv_Endothelial_cells_xCell__xCell,"",Microvascular endothelial cells,1.80492977026284e-23,2.4206951059992e-23,7.55612244854722e-05,-0.745624579398576,-0.745700140623062
