Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,Feature_Label,FDR_significance_rule,Effect_z,Signed_FDR_score
CESC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,MDSC,152,152,0.0174369348111245,0.0359936380883975,0.018556703277273,1.37763249817303e-13,6.19134700949733e-13,****,P=1.38e-13,FDR=6.19e-13,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",1.18414490813336,4
CESC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,DYSFUNCTION,152,152,-0.0720512284353716,-0.157094545862469,-0.0850433174270969,2.47653880379893e-13,6.19134700949733e-13,****,P=2.48e-13,FDR=6.19e-13,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.0938105855060326,-4
CESC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,TAMM2,152,152,-0.02207826819836,-0.0102596644242692,0.0118186037740909,5.17483745305963e-06,8.62472908843272e-06,****,P=5.17e-06,FDR=8.62e-06,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",2.31294761784539,4
CESC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,155,154,0.017625826569651,0.0172211115860543,-0.000404714983596663,0.839038446551668,0.839038446551668,"",P=0.839,FDR=0.839,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.589109679791887,0
CHOL,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,DYSFUNCTION,17,18,-0.129419205999404,-0.19983204432858,-0.0704128383291755,0.0720553814630122,0.35477265264229,"",P=0.0721,FDR=0.355,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.208169829632232,0
CHOL,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,MDSC,17,18,0.0221605918914888,0.0310669586698405,0.0089063667783517,0.141909061056916,0.35477265264229,"",P=0.142,FDR=0.355,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.106782824786036,0
CHOL,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,20,23,0.00957916275942797,0.00953472839505371,-4.44343643742576e-05,0.796547910277525,0.830132240640216,"",P=0.797,FDR=0.83,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.530064770461351,0
CHOL,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,TAMM2,17,18,-0.00962748821045598,-0.0119901359799093,-0.00236264776945327,0.830132240640216,0.830132240640216,"",P=0.83,FDR=0.83,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.902383231651277,0
COAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,DYSFUNCTION,228,228,-0.140841293088233,-0.225344948565493,-0.08450365547726,4.80424835909315e-26,2.40212417954657e-25,****,P=4.80e-26,FDR=2.40e-25,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.0826716926129608,-4
COAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,MDSC,228,228,0.038155607630211,0.0444433407708192,0.00628773314060825,1.64531250486772e-07,4.11328126216929e-07,****,P=1.65e-07,FDR=4.11e-07,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.457078048760504,4
COAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,264,257,0.014227629540796,0.0196769935455479,0.00544936400475183,1.50380151360216e-05,2.50633585600361e-05,****,P=1.50e-05,FDR=2.51e-05,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.370291255586923,4
COAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,TAMM2,228,228,0.00556168884838243,0.00654381694935265,0.000982128100970225,0.12052714950647,0.150658936883088,"",P=0.121,FDR=0.151,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.144018498623139,0
DLBC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,24,24,0,0.0301528388658289,0.0301528388658289,0.0791790660668634,0.395895330334317,"",P=0.0792,FDR=0.396,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",2.5,0
DLBC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,TAMM2,24,24,0.0103235592924978,0.00192226548423379,-0.00840129380826402,0.235768442708791,0.549227689646953,"",P=0.236,FDR=0.549,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-2.27153212786545,0
DLBC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,MDSC,24,24,0.00729574506917232,0.0024576521627357,-0.00483809290643662,0.439382151717562,0.549227689646953,"",P=0.439,FDR=0.549,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-1.94538235787683,0
DLBC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/DLBC/DLBC_TIDE_score_long.csv,DYSFUNCTION,24,24,0.0365730128865952,0.037900930402179,0.0013279175155838,0.718216129533986,0.718216129533986,"",P=0.718,FDR=0.718,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",1.68893495614208,0
ESCA,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,DYSFUNCTION,81,81,-0.0512015136374898,-0.130441264411679,-0.0792397507741892,1.66213440632117e-11,8.31067203160586e-11,****,P=1.66e-11,FDR=8.31e-11,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.0259779364827417,-4
ESCA,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,MDSC,81,81,0.0181101918524983,0.0376610241141104,0.0195508322616121,8.67199691292214e-11,2.16799922823053e-10,****,P=8.67e-11,FDR=2.17e-10,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",1.31712977100584,4
ESCA,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/ESCA/ESCA_TIDE_score_long.csv,TAMM2,81,81,-0.0179907606127625,-0.0099197854799562,0.0080709751328063,1.19708940236999e-05,1.99514900394999e-05,****,P=1.20e-05,FDR=2.00e-05,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",1.4632436304519,4
ESCA,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,87,84,0.0173229131596957,0.0195859086407161,0.00226299548102038,0.735114083803417,0.735114083803417,"",P=0.735,FDR=0.735,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.151909580482077,0
GBM,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,MDSC,80,81,0.0073516648610786,0.0289287868409986,0.02157712197992,2.90283558178787e-10,1.45141779089394e-09,****,P=2.90e-10,FDR=1.45e-09,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",1.5881870126456,4
GBM,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,DYSFUNCTION,80,81,-0.0677177263508925,-0.161664987707184,-0.0939472613562915,2.15331182834569e-06,5.38327957086424e-06,****,P=2.15e-06,FDR=5.38e-06,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.277592447064348,-4
GBM,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,85,84,0,0,0,0.0104720019521347,0.0174533365868912,*,P=0.0105,FDR=0.0175,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.52278260518335,0
GBM,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/GBM/GBM_TIDE_score_long.csv,TAMM2,80,81,-0.00280325862736689,0.00310647006763842,0.00590972869500531,0.0157038322767369,0.0196297903459211,*,P=0.0157,FDR=0.0196,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.973221834879854,1.70708433881547
HNSC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,DYSFUNCTION,251,251,-0.0184416051052189,-0.0642809656783163,-0.0458393605730974,4.8120309166312e-24,2.4060154583156e-23,****,P=4.81e-24,FDR=2.41e-23,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.715378716265731,-4
HNSC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,MDSC,251,251,0.0153993790802007,0.0275779732017864,0.0121785941215857,5.80522419937181e-22,1.45130604984295e-21,****,P=5.81e-22,FDR=1.45e-21,MDSC__TIDEpy,MDSC,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.330943779490415,4
HNSC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,TAMM2,251,251,-0.0196031601769294,-0.0141770655805936,0.0054260945963358,0.000859712401585639,0.00143285400264273,**,P=8.60e-04,FDR=0.00143,TAM M2__TIDEpy,TAM M2,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.863566940701737,2.84379805878397
HNSC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,275,272,0.0200367987537625,0.0253465547526235,0.00530975599886106,0.00496214892670871,0.00620268615838589,**,P=0.00496,FDR=0.0062,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",0.347411473523073,2.20742019257828
KICH,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KICH/KICH_TIDE_score_long.csv,DYSFUNCTION,32,33,-0.11127762368719,-0.216413617781258,-0.105135994094068,0.00010556485311849,0.000527824265592449,***,P=1.06e-04,FDR=5.28e-04,Dysfunction__TIDEpy,T-cell dysfunction,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.508533493793629,-3.27751064789646
KICH,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,42,47,0.00113162300212572,0.00347011101914698,0.00233848801702126,0.205893116221719,0.462509185370368,"",P=0.206,FDR=0.463,Tregs__quanTIseq,Tregs,"Asterisks from FDR only: * <0.05, ** <0.01, *** <0.001, **** <0.0001",-0.139537419157039,0
