Cancer,Feature,Display,Method,Source,Canonical,Low,High,P,FDR,Z_Effect,PlotEffect,Significance,Direction,Feature_Label,Feature_Main_Label,OrderEffect
ACC,CD8+_Tcm_xCell,CD8+ Tcm,xCell,IOBR::deconvo_tme(method='xcell'),CD8TCM,3.33095077559594,-0.00371731721818647,0.329926457503546,0.537961222476362,-3.33466809281413,-2.5,"",Higher in Low,"CD8+ Tcm
(xCell)",CD8+ Tcm,0
ACC,aDC_xCell,Adc,xCell,IOBR::deconvo_tme(method='xcell'),ADC,-0.227409333250168,-0.385273359906838,0.397744536967196,0.626748967342248,-0.15786402665667,-0.15786402665667,"",Higher in Low,"Adc
(xCell)",Adc,0
ACC,Macrophages_M1_quantiseq,Macrophages M1,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM1,-0.985961133087237,-0.985961133087237,0.469322766391844,0.701189483949187,0,0,"",Higher in High,"Macrophages M1
(quanTIseq)",Macrophages M1,0
ACC,iDC_xCell,Idc,xCell,IOBR::deconvo_tme(method='xcell'),IDC,-0.279816809585046,0.7448666516582,0.485438873503284,0.701189483949187,1.02468346124325,1.02468346124325,"",Higher in High,"Idc
(xCell)",Idc,0
ACC,CD8+_naive_T-cells_xCell,CD8+ Naive t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD8NAIVETCELLS,-0.392356321249728,-0.353531048098322,0.613371800669372,0.84860334575917,0.0388252731514054,0.0388252731514054,"",Higher in High,"CD8+ Naive t-Cells
(xCell)",CD8+ Naive t-Cells,0
ACC,T_cells_CD4_quantiseq,t Cells CD4,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TCELLSCD4,2.81677499874783,3.46425358800707,0.620133214208624,0.84860334575917,0.647478589259237,0.647478589259237,"",Higher in High,"t Cells CD4
(quanTIseq)",t Cells CD4,0
ACC,CD4+_naive_T-cells_xCell,CD4+ Naive t-Cells,xCell,IOBR::deconvo_tme(method='xcell'),CD4NAIVETCELLS,0.720971310160544,-0.403302981221291,0.693450021774044,0.888995225491652,-1.12427429138184,-1.12427429138184,"",Higher in Low,"CD4+ Naive t-Cells
(xCell)",CD4+ Naive t-Cells,0
ACC,T_cells_MCPcounter,T cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),TCELLS,-0.389684178987869,-0.389322781648672,0.705784559018433,0.888995225491652,0.00036139733919649,0.00036139733919649,"",Higher in High,"T cells
(MCP-counter)",T cells,0
ACC,Macrophages_M2_quantiseq,Macrophages M2,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MACROPHAGESM2,-0.788791893265638,-0.8142727370876,0.735130667233482,0.888995225491652,-0.0254808438219623,-0.0254808438219623,"",Higher in Low,"Macrophages M2
(quanTIseq)",Macrophages M2,0
ACC,ly_Endothelial_cells_xCell,Ly Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),LYENDOTHELIALCELLS,-0.491323642641992,-0.638248163276887,0.76450145234656,0.903501716409571,-0.146924520634894,-0.146924520634894,"",Higher in Low,"Ly Endothelial Cells
(xCell)",Ly Endothelial Cells,0
ACC,DC_xCell,Dc,xCell,IOBR::deconvo_tme(method='xcell'),DC,1.68695509376862,2.671550080126,0.858036510026413,0.964175869780484,0.984594986357379,0.984594986357379,"",Higher in High,"Dc
(xCell)",Dc,0
ACC,Monocytes_quantiseq,Monocytes,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),MONOCYTES,-0.11577535638817,-0.263227499754708,0.864982031073638,0.964175869780484,-0.147452143366538,-0.147452143366538,"",Higher in Low,"Monocytes
(quanTIseq)",Monocytes,0
ACC,Myeloid_dendritic_cells_MCPcounter,Myeloid Dendritic Cells,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),MYELOIDDENDRITICCELLS,-0.179977104939655,-0.182664163308632,0.87146665153236,0.964175869780484,-0.00268705836897643,-0.00268705836897643,"",Higher in Low,"Myeloid Dendritic Cells
(MCP-counter)",Myeloid Dendritic Cells,0
ACC,pDC_xCell,Pdc,xCell,IOBR::deconvo_tme(method='xcell'),PDC,-0.364929875207392,-0.364929875207392,0.917825947368092,0.990679915080359,0,0,"",Higher in High,"Pdc
(xCell)",Pdc,0
ACC,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,-0.565166313170093,-0.676410532723275,0.933525304594954,0.990679915080359,-0.111244219553182,-0.111244219553182,"",Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,0
ACC,Eosinophils_xCell,Eosinophils,xCell,IOBR::deconvo_tme(method='xcell'),EOSINOPHILS,-0.638759062585804,-0.638759062585804,0.969678930955509,1,0,0,"",Higher in High,"Eosinophils
(xCell)",Eosinophils,0
ACC,mv_Endothelial_cells_xCell,Mv Endothelial Cells,xCell,IOBR::deconvo_tme(method='xcell'),MVENDOTHELIALCELLS,7.55612244854722e-05,-0.745624579398576,0.987611378921674,1,-0.745700140623062,-0.745700140623062,"",Higher in Low,"Mv Endothelial Cells
(xCell)",Mv Endothelial Cells,0
BLCA,Neutrophils_MCPcounter,Neutrophils,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),NEUTROPHILS,-0.506110227796083,-0.0837062953851278,1.32278324740631e-09,6.87847288651284e-08,0.422403932410955,0.422403932410955,****,Higher in High,"Neutrophils
(MCP-counter)",Neutrophils,0.422403932410955
BLCA,Plasma_cells_xCell,Plasma Cells,xCell,IOBR::deconvo_tme(method='xcell'),PLASMACELLS,1.22155034775078,-0.430947013497466,3.72959933996115e-08,9.69695828389899e-07,-1.65249736124824,-1.65249736124824,****,Higher in Low,"Plasma Cells
(xCell)",Plasma Cells,-1.65249736124824
