Cancer	Feature	Median_Low	Median_High	High_minus_Low_effect	FDR	Significance
LUSC	HAVCR2	4.4552903600403	3.88003895899514	-0.575251401045154	2.97789408301927e-06	****
PRAD	TIGIT	0.666438481603221	0.966282793930777	0.299844312327557	7.61635626514384e-10	****
LIHC	TIGIT	0.469625492418536	0.72355792587418	0.253932433455644	1.98450438315855e-06	****
LGG	TIGIT	0.281905923897192	0.334797075133885	0.0528911512366934	0.157235156699435	""
KIRC	TIGIT	1.55692484719223	1.69189144452501	0.134966597332782	0.318494801712746	""
UVM	TIGIT	0.0464751512116008	0.173478490061668	0.127003338850068	0.00927066070113782	**
STAD	TIGIT	1.34831679999278	1.66658848727957	0.318271687286788	0.0401704107296232	*
COAD	TIGIT	1.17075780407495	1.48712614513836	0.316368341063409	0.00214932426714854	**
PAAD	TIGIT	1.30702043251839	1.91748477153878	0.61046433902039	0.018267672263429	*
BLCA	TIGIT	1.23238446925722	1.57153119841353	0.339146729156317	0.0304143038890599	*
UCEC	TIGIT	1.15526263117599	1.2025117562101	0.0472491250341107	0.644963549646813	""
KIRP	TIGIT	0.425459304765355	0.469693225163984	0.0442339203986289	0.435605474947101	""
PCPG	TIGIT	0.179255791461487	0.242572020767152	0.0633162293056651	0.42244986941139	""
OV	TIGIT	0.582266953350512	0.738508446747399	0.156241493396887	0.196634470953771	""
BRCA	TIGIT	1.54220851432284	1.64362534009972	0.101416825776875	0.571812193745366	""
KICH	TIGIT	0.230202882300867	0.427927927615234	0.197725045314367	0.095446739491698	""
THCA	TIGIT	1.14958455315814	0.926491876824538	-0.223092676333599	0.170499178360379	""
HNSC	TIGIT	1.77302576520969	1.98893201401622	0.215906248806528	0.168765607068725	""
LUAD	TIGIT	2.18034526306828	2.34346467615453	0.163119413086245	0.177989439911999	""
READ	TIGIT	0.911883289405794	1.1669724724107	0.255089183004901	0.0469284605627082	*
THYM	TIGIT	1.69907243782804	1.43328197736358	-0.265790460464465	0.154397402168797	""
LAML	TIGIT	1.33685463912547	1.34340782229781	0.00655318317234865	0.850433981508937	""
ACC	TIGIT	0.148218272154145	0.0612888333848083	-0.0869294387693368	0.350894555458214	""
ESCA	TIGIT	1.14032058464356	1.24491198588644	0.10459140124288	0.802576407224485	""
TGCT	TIGIT	2.61247045754762	2.81608765860021	0.203617201052589	0.951948373452191	""
CESC	TIGIT	2.01742311238386	1.87733881036081	-0.140084302023044	0.379990860352226	""
MESO	TIGIT	1.38829976752295	1.58157106177861	0.193271294255659	0.976295384034329	""
SKCM	TIGIT	2.3006121024611	1.72141640998981	-0.579195692471294	0.0337180942907911	*
DLBC	TIGIT	4.51645428207889	4.75408895965944	0.237634677580551	0.755954987842727	""
CHOL	TIGIT	0.732817997982257	0.628446998324736	-0.104370999657522	0.939628144702672	""
UCS	TIGIT	0.428421473257884	0.481195592928954	0.0527741196710701	0.993631985161221	""
GBM	TIGIT	0.317072477536971	0.338674611230658	0.0216021336936872	0.799945639253209	""
SARC	TIGIT	1.20188684478591	0.822607794060249	-0.379279050725666	0.0412909225344373	*
LUSC	TIGIT	2.15122058479321	1.93285488891649	-0.218365695876712	0.0353259584428238	*
PRAD	PDCD1LG2	0.955237629922147	1.24671210053186	0.291474470609714	2.43673792117932e-09	****
LIHC	PDCD1LG2	0.827919619896102	0.984331046815028	0.156411426918925	0.00455318434098498	**
LGG	PDCD1LG2	1.19905980549534	1.6377957004841	0.438735894988765	0.00013529135148841	***
KIRC	PDCD1LG2	2.3232114774291	2.90307684433093	0.579865366901833	4.37433295206962e-12	****
UVM	PDCD1LG2	0.645145611346182	1.28180532534017	0.636659713993986	0.000382103622828544	***
STAD	PDCD1LG2	1.9276475727407	2.34706263682014	0.419415064079439	0.000337865064925348	***
COAD	PDCD1LG2	1.44283672798095	1.68252835287676	0.239691624895811	0.00809544409325164	**
PAAD	PDCD1LG2	1.77357442277131	2.29326882270136	0.519694399930049	0.00120006990332198	**
BLCA	PDCD1LG2	1.51901073507447	1.784545860262	0.26553512518753	0.0451600138274381	*
