Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
HNSC,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,275,272,7.78648666666667,9.28713,1.50064333333333,8.91347799031088e-07,4.15962306214508e-06,****,P=8.91e-07,FDR=4.16e-06,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.25029493520626e+23,2.68398091414811e+23,4.33685978941854e+22,****
HNSC,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/HNSC/HNSC_TIDE_score_long.csv,EXCLUSION,251,251,0.14876003468135,0.420716671568538,0.271956636887188,3.58717888446257e-16,5.0220504382476e-15,****,P=3.59e-16,FDR=5.02e-15,Exclusion score,0.518559332003667,0.260469451282052,-1.41974153015693,-0.375639676566825,1.0441018535901,****
HNSC,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,275,272,242.4159875,324.72859375,82.31260625,0.0217062719621512,0.0506479679116862,*,P=0.0217,FDR=0.0506,Fibroblasts,1.197275,1.775079915,135.891748006174,182.262959552444,46.37121154627,""
HNSC,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,275,272,0.293141242374613,0.308890075402149,0.0157488330275354,0.136128579921236,0.211755568766368,ns,P=0.136,FDR=0.212,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.811496310233505,-0.701209701102419,0.110286609131085,""
KIRP,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,CAF,145,145,0.0514573467292951,0.0673454297385455,0.0158880830092504,6.37678930301024e-11,2.97583500807145e-10,****,P=6.38e-11,FDR=2.98e-10,CAF,0.0394390710931143,0.0312357940078499,0.384759728955842,0.893409613292305,0.508649884336462,****
KIRP,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,159,164,0.13868925718581,0.175062181049648,0.0363729238638383,0.00926113814669397,0.0162069917567145,**,P=0.00926,FDR=0.0162,EMT,0.266999790790937,0.124680700020625,-1.02911303500784,-0.737384452654503,0.291728582353332,*
KIRP,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,159,164,5.06649666666667,7.94405166666667,2.877555,7.55482958058047e-14,1.05767614128127e-12,****,P=7.55e-14,FDR=1.06e-12,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,1.46421772441307e+23,2.29583122604506e+23,8.31613501631987e+22,****
KIRP,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,EXCLUSION,145,145,0.342998763612772,0.476873028489421,0.133874264876649,1.00331018387309e-09,3.51158564355581e-09,****,P=1.00e-09,FDR=3.51e-09,Exclusion score,0.518559332003667,0.260469451282052,-0.674015964355017,-0.160042965918122,0.513972998436894,****
KIRP,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,159,164,25.602725,50.32174375,24.71901875,3.29210393015824e-11,2.30447275111077e-10,****,P=3.29e-11,FDR=2.30e-10,Fibroblasts,1.197275,1.775079915,13.7489302840768,27.6745110656046,13.9255807815278,****
KIRP,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,159,164,0.366805196334353,0.40553440029226,0.0387292039579074,3.99991917399944e-05,9.33314473933204e-05,****,P=4.00e-05,FDR=9.33e-05,TGF-beta signaling,0.409022218252099,0.142799140816971,-0.295639187156294,-0.0244246424725336,0.271214544683761,****
