Cancer,Sample,Sample_key,Feature,Value,Group,Feature_Display
THCA,TCGA-IM-A41Y-01A-11R-A23W-07,TCGA-IM-A41Y-01A,ImmuneScore,-56.4713165375115,Low,ImmuneScore
THCA,TCGA-IM-A41Y-01A-11R-A23W-07,TCGA-IM-A41Y-01A,ESTIMATEScore,-967.918581892122,Low,ESTIMATEScore
THCA,TCGA-IM-A41Y-01A-11R-A23W-07,TCGA-IM-A41Y-01A,TumorPurity,0.894757717647004,Low,TumorPurity
THCA,TCGA-ET-A39T-01A-11R-A19O-07,TCGA-ET-A39T-01A,StromalScore,-810.802949944538,High,StromalScore
THCA,TCGA-ET-A39T-01A-11R-A19O-07,TCGA-ET-A39T-01A,ImmuneScore,-8.74233683528502,High,ImmuneScore
THCA,TCGA-ET-A39T-01A-11R-A19O-07,TCGA-ET-A39T-01A,ESTIMATEScore,-819.545286779823,High,ESTIMATEScore
THCA,TCGA-ET-A39T-01A-11R-A19O-07,TCGA-ET-A39T-01A,TumorPurity,0.884820614460231,High,TumorPurity
THCA,TCGA-EL-A3CP-01A-11R-A19O-07,TCGA-EL-A3CP-01A,StromalScore,-223.278587207378,High,StromalScore
THCA,TCGA-EL-A3CP-01A-11R-A19O-07,TCGA-EL-A3CP-01A,ImmuneScore,-388.93645912414,High,ImmuneScore
THCA,TCGA-EL-A3CP-01A-11R-A19O-07,TCGA-EL-A3CP-01A,ESTIMATEScore,-612.215046331517,High,ESTIMATEScore
THCA,TCGA-EL-A3CP-01A-11R-A19O-07,TCGA-EL-A3CP-01A,TumorPurity,0.870233052855277,High,TumorPurity
THCA,TCGA-EM-A3ST-01A-11R-A22U-07,TCGA-EM-A3ST-01A,StromalScore,-1069.72527652955,Low,StromalScore
THCA,TCGA-EM-A3ST-01A-11R-A22U-07,TCGA-EM-A3ST-01A,ImmuneScore,-222.137542347109,Low,ImmuneScore
THCA,TCGA-EM-A3ST-01A-11R-A22U-07,TCGA-EM-A3ST-01A,ESTIMATEScore,-1291.86281887666,Low,ESTIMATEScore
THCA,TCGA-EM-A3ST-01A-11R-A22U-07,TCGA-EM-A3ST-01A,TumorPurity,0.9149724341031,Low,TumorPurity
THCA,TCGA-CE-A483-01A-11R-A23W-07,TCGA-CE-A483-01A,StromalScore,-759.958207804337,High,StromalScore
THCA,TCGA-CE-A483-01A-11R-A23W-07,TCGA-CE-A483-01A,ImmuneScore,-133.253610710786,High,ImmuneScore
THCA,TCGA-CE-A483-01A-11R-A23W-07,TCGA-CE-A483-01A,ESTIMATEScore,-893.211818515123,High,ESTIMATEScore
THCA,TCGA-CE-A483-01A-11R-A23W-07,TCGA-CE-A483-01A,TumorPurity,0.889807089773367,High,TumorPurity
THCA,TCGA-FE-A238-01A-11R-A16R-07,TCGA-FE-A238-01A,StromalScore,-419.784639503535,High,StromalScore
THCA,TCGA-FE-A238-01A-11R-A16R-07,TCGA-FE-A238-01A,ImmuneScore,457.787339472244,High,ImmuneScore
THCA,TCGA-FE-A238-01A-11R-A16R-07,TCGA-FE-A238-01A,ESTIMATEScore,38.002699968709,High,ESTIMATEScore
THCA,TCGA-FE-A238-01A-11R-A16R-07,TCGA-FE-A238-01A,TumorPurity,0.81932389739067,High,TumorPurity
THCA,TCGA-ET-A3BQ-01B-11R-A206-07,TCGA-ET-A3BQ-01B,StromalScore,64.4306163295248,High,StromalScore
THCA,TCGA-ET-A3BQ-01B-11R-A206-07,TCGA-ET-A3BQ-01B,ImmuneScore,209.617840424196,High,ImmuneScore
THCA,TCGA-ET-A3BQ-01B-11R-A206-07,TCGA-ET-A3BQ-01B,ESTIMATEScore,274.04845675372,High,ESTIMATEScore
THCA,TCGA-ET-A3BQ-01B-11R-A206-07,TCGA-ET-A3BQ-01B,TumorPurity,0.798970889946125,High,TumorPurity
THCA,TCGA-BJ-A28R-01A-11R-A16R-07,TCGA-BJ-A28R-01A,StromalScore,-350.76900437822,Low,StromalScore
