Cancer,Feature,Display,Method,Feature_Label,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,NegLogFDR,SignedNegLogFDR,SignedNegLogFDR_cap,Direction
SARC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,130,135,0.0211725145073098,0.0176984605317311,-0.00347405397557873,0.576877573351359,0.576877573351359,"",0.238916344312912,-0.238916344312912,-0.238916344312912,NS
SKCM,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,234,235,-0.106262234844784,-0.279642259696364,-0.173380024851581,5.27898458563111e-28,2.63949229281555e-27,****,26.5784796017792,-26.5784796017792,-6,Low
SKCM,MDSC,MDSC,TIDEpy,MDSC,234,235,0.0192116237115139,0.0426271341277363,0.0234155104162224,3.12222207265235e-25,7.80555518163088e-25,****,24.1075962016671,24.1075962016671,6,High
SKCM,Tregs_quantiseq,Tregs,quanTIseq,Tregs,236,237,0.023815977725216,0.0269682273945005,0.00315224966928456,0.00159394723940616,0.0026565787323436,**,2.57567730848916,2.57567730848916,2.57567730848916,High
SKCM,TAM M2,TAM M2,TIDEpy,TAM M2,234,235,-0.0034989535048028,-0.00245081762605762,0.00104813587874518,0.0553107194327079,0.0691383992908848,"",1.16028067956919,1.16028067956919,1.16028067956919,NS
SKCM,Tregs_xCell,Tregs,xCell,Tregs (xCell),236,237,9.36215658307792e-24,1.51089642058939e-23,5.74680762281601e-24,0.594073075821063,0.594073075821063,"",0.226160129978657,0.226160129978657,0.226160129978657,NS
STAD,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,187,188,-0.0205486075269697,-0.120043916112317,-0.0994953085853468,1.08327823020782e-13,5.41639115103908e-13,****,12.2662899801051,-12.2662899801051,-6,Low
STAD,MDSC,MDSC,TIDEpy,MDSC,187,188,0.0137050766952721,0.0272912720852541,0.013586195389982,1.00103989474732e-08,2.5025997368683e-08,****,7.6016086054337,7.6016086054337,6,High
STAD,Tregs_quantiseq,Tregs,quanTIseq,Tregs,204,198,0.0203792164752994,0.0286263274958446,0.00824711102054521,2.73767790174527e-05,4.56279650290879e-05,****,4.34076889998354,4.34076889998354,4.34076889998354,High
STAD,Tregs_xCell,Tregs,xCell,Tregs (xCell),204,198,8.42555655322892e-24,0,-8.42555655322892e-24,0.0537728400642666,0.0672160500803333,"",1.1725270122283,-1.1725270122283,-1.1725270122283,NS
STAD,TAM M2,TAM M2,TIDEpy,TAM M2,187,188,-0.00568162794364369,-0.00754608190224007,-0.00186445395859638,0.101156130644124,0.101156130644124,"",0.995007791348635,-0.995007791348635,-0.995007791348635,NS
TGCT,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,75,75,-0.197759289442901,-0.324735076289693,-0.126975786846792,7.27019522865854e-07,3.63509761432927e-06,****,5.43948392241282,-5.43948392241282,-5.43948392241282,Low
TGCT,TAM M2,TAM M2,TIDEpy,TAM M2,75,75,0.00466536328097895,0.0122038266045341,0.00753846332355515,0.000101689611594512,0.000172124970743625,***,3.76415612055279,3.76415612055279,3.76415612055279,High
TGCT,MDSC,MDSC,TIDEpy,MDSC,75,75,0.0275599098330191,0.0496479040216954,0.0220879941886763,0.000103274982446175,0.000172124970743625,***,3.76415612055279,3.76415612055279,3.76415612055279,High
TGCT,Tregs_xCell,Tregs,xCell,Tregs (xCell),77,79,0,0,0,0.0767550862723311,0.0959438578404139,"",1.01798282281906,0,0,NS
TGCT,Tregs_quantiseq,Tregs,quanTIseq,Tregs,77,79,0.0210518683592178,0.0189956452403442,-0.00205622311887364,0.618414929267727,0.618414929267727,"",0.208720034580789,-0.208720034580789,-0.208720034580789,NS
THCA,MDSC,MDSC,TIDEpy,MDSC,252,252,0.0180252747361701,0.0203237442511719,0.0022984695150018,0.000732981494270091,0.00366490747135046,**,2.4359369856038,2.4359369856038,2.4359369856038,High
THCA,Tregs_quantiseq,Tregs,quanTIseq,Tregs,287,284,0.0113549315746843,0.0124604301228595,0.00110549854817514,0.0205459517896308,0.0513648794740769,"",1.28933372660571,1.28933372660571,1.28933372660571,NS
THCA,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,252,252,-0.0408111724780072,-0.0507057934050705,-0.00989462092706325,0.0692049276830476,0.115341546138413,"",0.9380142312251,-0.9380142312251,-0.9380142312251,NS
THCA,Tregs_xCell,Tregs,xCell,Tregs (xCell),287,284,0,1.06214747342332e-23,1.06214747342332e-23,0.193660924361503,0.242076155451878,"",0.616047986542027,0.616047986542027,0.616047986542027,NS
THCA,TAM M2,TAM M2,TIDEpy,TAM M2,252,252,-0.000500339594228041,-0.000900283415482856,-0.000399943821254816,0.803151050949733,0.803151050949733,"",0.0952027680155638,-0.0952027680155638,-0.0952027680155638,NS
THYM,TAM M2,TAM M2,TIDEpy,TAM M2,60,60,0.0189231396611085,0.0277362466227937,0.0088131069616852,1.2862335707758e-06,6.43116785387899e-06,****,5.19171015515645,5.19171015515645,5.19171015515645,High
THYM,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,60,60,-0.0356541679173681,-0.0595411961629647,-0.0238870282455966,0.0131389074904481,0.0328472687261203,*,1.4835007364996,-1.4835007364996,-1.4835007364996,Low
THYM,Tregs_quantiseq,Tregs,quanTIseq,Tregs,60,62,0.00698751660453371,0,-0.00698751660453371,0.0308746992729343,0.0514578321215571,"",1.288548514229,-1.288548514229,-1.288548514229,NS
THYM,MDSC,MDSC,TIDEpy,MDSC,60,60,0.0262621347979136,0.0289678767622096,0.00270574196429595,0.0977328471119487,0.122166058889936,"",0.913049436354278,0.913049436354278,0.913049436354278,NS
THYM,Tregs_xCell,Tregs,xCell,Tregs (xCell),60,62,4.83858394333006e-24,0,-4.83858394333006e-24,0.509449407863656,0.509449407863656,"",0.292898938206313,-0.292898938206313,-0.292898938206313,NS
UCEC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,272,273,-0.133740832959516,-0.252116615528429,-0.118375782568914,7.35274903401469e-40,3.67637451700734e-39,****,38.434580252894,-38.434580252894,-6,Low
UCEC,MDSC,MDSC,TIDEpy,MDSC,272,273,0.0342051017828988,0.0492686727227795,0.0150635709398807,5.82018461422252e-24,1.45504615355563e-23,****,22.8371232307904,22.8371232307904,6,High
UCEC,TAM M2,TAM M2,TIDEpy,TAM M2,272,273,0.00122719923799292,0.00463686797260474,0.00340966873461182,0.000802054872385563,0.00133675812064261,**,2.87394716893358,2.87394716893358,2.87394716893358,High
UCEC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,280,297,0.0144743084229059,0.0157482102510056,0.00127390182809976,0.205020518887941,0.256275648609927,"",0.591292658649043,0.591292658649043,0.591292658649043,NS
UCEC,Tregs_xCell,Tregs,xCell,Tregs (xCell),280,297,3.60137094865434e-25,1.13406833882742e-23,1.09805462934088e-23,0.945261495129461,0.945261495129461,"",0.0244480325679779,0.0244480325679779,0.0244480325679779,NS
UCS,MDSC,MDSC,TIDEpy,MDSC,28,29,0.04957412178653,0.0617229740116855,0.0121488522251555,0.000382841972703168,0.00191420986351584,**,2.71801045027364,2.71801045027364,2.71801045027364,High
UCS,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,28,29,-0.223093611904254,-0.297248687503289,-0.0741550755990355,0.00116075757348164,0.00290189393370409,**,2.53731846538169,-2.53731846538169,-2.53731846538169,Low
UCS,TAM M2,TAM M2,TIDEpy,TAM M2,28,29,0.0124284903865049,0.014256059466702,0.0018275690801971,0.119628331024065,0.199380551706775,"",0.70031720659787,0.70031720659787,0.70031720659787,NS
UCS,Tregs_quantiseq,Tregs,quanTIseq,Tregs,28,29,0.011058876148771,0.0127937559570326,0.00173487980826166,0.228140625574639,0.285175781968299,"",0.544887358918764,0.544887358918764,0.544887358918764,NS
UCS,Tregs_xCell,Tregs,xCell,Tregs (xCell),28,29,2.34658514829679e-23,0,-2.34658514829679e-23,0.484285104681096,0.484285104681096,"",0.314898888488644,-0.314898888488644,-0.314898888488644,NS
UVM,Tregs_quantiseq,Tregs,quanTIseq,Tregs,40,40,0.000969203405462811,0.00506560933493613,0.00409640592947332,5.61933065776174e-08,2.80966532888087e-07,****,6.55134540766657,6.55134540766657,6,High
UVM,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,40,40,-0.151754937322744,-0.259007414837996,-0.107252477515252,6.37006589377463e-07,1.59251647344366e-06,****,5.79791606650365,-5.79791606650365,-5.79791606650365,Low
UVM,Tregs_xCell,Tregs,xCell,Tregs (xCell),40,40,3.34264785465994e-23,0,-3.34264785465994e-23,0.0172297094113356,0.028716182352226,*,1.54187329749265,-1.54187329749265,-1.54187329749265,Low
UVM,MDSC,MDSC,TIDEpy,MDSC,40,40,0.0378843572672445,0.0388770057694687,0.000992648502224254,0.613431372955167,0.766789216193958,"",0.115324003488798,0.115324003488798,0.115324003488798,NS
UVM,TAM M2,TAM M2,TIDEpy,TAM M2,40,40,0.0121435296042053,0.0126644763472669,0.0005209467430616,0.911886916830624,0.911886916830624,"",0.040059015225843,0.040059015225843,0.040059015225843,NS
