Cancer,Feature,Display,Method,Feature_Label,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,NegLogFDR,SignedNegLogFDR,SignedNegLogFDR_cap,Direction
COAD,TAM M2,TAM M2,TIDEpy,TAM M2,228,228,0.00556168884838243,0.00654381694935265,0.000982128100970225,0.12052714950647,0.150658936883088,"",0.822005101468929,0.822005101468929,0.822005101468929,NS
COAD,Tregs_xCell,Tregs,xCell,Tregs (xCell),264,257,0,7.83886575127348e-24,7.83886575127348e-24,0.208582129932856,0.208582129932856,"",0.680722902064785,0.680722902064785,0.680722902064785,NS
DLBC,Tregs_quantiseq,Tregs,quanTIseq,Tregs,24,24,0,0.0301528388658289,0.0301528388658289,0.0791790660668634,0.395895330334317,"",0.402419620809045,0.402419620809045,0.402419620809045,NS
DLBC,TAM M2,TAM M2,TIDEpy,TAM M2,24,24,0.0103235592924978,0.00192226548423379,-0.00840129380826402,0.235768442708791,0.549227689646953,"",0.260247575663729,-0.260247575663729,-0.260247575663729,NS
DLBC,Tregs_xCell,Tregs,xCell,Tregs (xCell),24,24,2.05743772232498e-23,1.27979410706972e-24,-1.92945831161801e-23,0.394874751303704,0.549227689646953,"",0.260247575663729,-0.260247575663729,-0.260247575663729,NS
DLBC,MDSC,MDSC,TIDEpy,MDSC,24,24,0.00729574506917232,0.0024576521627357,-0.00483809290643662,0.439382151717562,0.549227689646953,"",0.260247575663729,-0.260247575663729,-0.260247575663729,NS
DLBC,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,24,24,0.0365730128865952,0.037900930402179,0.0013279175155838,0.718216129533986,0.718216129533986,"",0.143744845814029,0.143744845814029,0.143744845814029,NS
ESCA,Dysfunction,Dysfunction,TIDEpy,T-cell dysfunction,81,81,-0.0512015136374898,-0.130441264411679,-0.0792397507741892,1.66213440632117e-11,8.31067203160586e-11,****,10.0803638561416,-10.0803638561416,-6,Low
ESCA,MDSC,MDSC,TIDEpy,MDSC,81,81,0.0181101918524983,0.0376610241141104,0.0195508322616121,8.67199691292214e-11,2.16799922823053e-10,****,9.6639408767348,9.6639408767348,6,High
ESCA,TAM M2,TAM M2,TIDEpy,TAM M2,81,81,-0.0179907606127625,-0.0099197854799562,0.0080709751328063,1.19708940236999e-05,1.99514900394999e-05,****,4.70002466429965,4.70002466429965,4.70002466429965,High
ESCA,Tregs_xCell,Tregs,xCell,Tregs (xCell),87,84,1.90232430378e-23,6.28526164968099e-24,-1.2737981388119e-23,0.354767622050711,0.443459527563388,"",0.353146010010266,-0.353146010010266,-0.353146010010266,NS
ESCA,Tregs_quantiseq,Tregs,quanTIseq,Tregs,87,84,0.0173229131596957,0.0195859086407161,0.00226299548102038,0.735114083803417,0.735114083803417,"",0.133645256668823,0.133645256668823,0.133645256668823,NS
GBM,MDSC,MDSC,TIDEpy,MDSC,80,81,0.0073516648610786,0.0289287868409986,0.02157712197992,2.90283558178787e-10,1.45141779089394e-09,****,8.83820755781524,8.83820755781524,6,High
