Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_ID,FDR_star,Feature_Display,Feature_Order,.center,.scale,Low_Z,High_Z,Diff_Z,Cancer_chr
KIRC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRC/KIRC_TIDE_score_long.csv,MDSC,266,266,0.0145808830187733,0.0185793347061559,0.0039984516873826,0.0054153954337945,0.00676924429224313,**,P=0.00542,FDR=0.00677,MDSC__TIDEpy,**,MDSC,2,0.0239026364702057,0.0162518795004761,-0.573580025077058,-0.327549915927808,0.246030109149251,KIRC
KIRP,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,DYSFUNCTION,145,145,-0.0991377058195636,-0.172762181615818,-0.0736244757962544,1.59373345651619e-11,7.96866728258093e-11,****,P=1.59e-11,FDR=7.97e-11,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.247377476852881,-0.492298479901249,-0.73967595675413,KIRP
KIRP,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,MDSC,145,145,-0.000398714094730744,0.00947128510918472,0.00986999920391546,5.25471219164557e-06,1.31367804791139e-05,****,P=5.25e-06,FDR=1.31e-05,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-1.49529477893462,-0.887980455466596,0.607314323468023,KIRP
KIRP,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/KIRP/KIRP_TIDE_score_long.csv,TAMM2,145,145,-0.00629605418060469,-0.00912887772356658,-0.00283282354296189,3.76241601828009e-05,6.27069336380015e-05,****,P=3.76e-05,FDR=6.27e-05,TAM M2__TIDEpy,****,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.496933491693508,-0.788329878482543,-0.291396386789035,KIRP
KIRP,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,159,164,0.00277135476729817,0.00480788638565752,0.00203653161835935,0.000100279722856376,0.00012534965357047,***,P=1.00e-04,FDR=1.25e-04,Tregs_quantiseq__quanTIseq,***,Tregs,3,0.0151061726920464,0.0100027166865107,-1.23314678515113,-1.02954893446865,0.203597850682479,KIRP
LAML,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LAML/LAML_TIDE_score_long.csv,DYSFUNCTION,75,75,0.0373770492521302,-0.0590430308696361,-0.0964200801217663,4.3231163522027e-05,0.000216155817610135,****,P=4.32e-05,FDR=2.16e-04,Dysfunction__TIDEpy,***,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.61888716811574,0.650192800610233,-0.96869436750551,LAML
LAML,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,75,75,0.0246643923033994,0.0323981602366173,0.00773376793321796,0.00120756256441114,0.00301890641102785,**,P=0.00121,FDR=0.00302,Tregs_quantiseq__quanTIseq,**,Tregs,3,0.0151061726920464,0.0100027166865107,0.955562364796635,1.7287291129509,0.773166748154265,LAML
LAML,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LAML/LAML_TIDE_score_long.csv,TAMM2,75,75,-0.0084060389065575,-0.000238658300304687,0.00816738060625281,0.0373118583822691,0.0621864306371152,*,P=0.0373,FDR=0.0622,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.713975575677266,0.126156244077568,0.840131819754834,LAML
LAML,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LAML/LAML_TIDE_score_long.csv,MDSC,75,75,-0.016335608948382,-0.013706257901594,0.002629351046788,0.10522975958875,0.131537199485938,ns,P=0.105,FDR=0.132,MDSC__TIDEpy,"",MDSC,2,0.0239026364702057,0.0162518795004761,-2.47591335004723,-2.31412584437991,0.161787505667327,LAML
LGG,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LGG/LGG_TIDE_score_long.csv,DYSFUNCTION,257,257,-0.0422735382393998,-0.12383212840004,-0.0815585901606402,4.82245074180766e-18,2.41122537090383e-17,****,P=4.82e-18,FDR=2.41e-17,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.818669253194801,-0.000717609070079216,-0.81938686226488,LGG
LGG,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,261,271,0,0,0,1.93115157519469e-12,4.82787893798671e-12,****,P=1.93e-12,FDR=4.83e-12,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-1.51020699330793,-1.51020699330793,0,LGG
LGG,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LGG/LGG_TIDE_score_long.csv,MDSC,257,257,0.0228941862190556,0.0277289837700595,0.0048347975510039,4.36798357307932e-06,7.27997262179887e-06,****,P=4.37e-06,FDR=7.28e-06,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.0620513000432081,0.235440294751244,0.297491594794452,LGG
LGG,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LGG/LGG_TIDE_score_long.csv,TAMM2,257,257,0.0060136317039446,0.00491726840671922,-0.00109636329722538,0.128826913185792,0.161033641482241,ns,P=0.129,FDR=0.161,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,0.769293625832925,0.656516991999404,-0.11277663383352,LGG
LIHC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LIHC/LIHC_TIDE_score_long.csv,DYSFUNCTION,185,186,-0.020317714600124,-0.0460458131789877,-0.0257280985788637,6.78228205249001e-13,3.391141026245e-12,****,P=6.78e-13,FDR=3.39e-12,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.03925071990227,0.780770700506956,-0.258480019395313,LIHC
LIHC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,212,212,0,0.00363094371849142,0.00363094371849142,1.336097947499e-08,3.34024486874749e-08,****,P=1.34e-08,FDR=3.34e-08,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-1.51020699330793,-1.14721123602652,0.362995757281416,LIHC
LIHC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LIHC/LIHC_TIDE_score_long.csv,MDSC,185,186,-0.00741544669131189,-0.00453609149633593,0.00287935519497596,7.02231382548513e-08,1.17038563758086e-07,****,P=7.02e-08,FDR=1.17e-07,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-1.92704377118967,-1.7498731740971,0.177170597092577,LIHC
LIHC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LIHC/LIHC_TIDE_score_long.csv,TAMM2,185,186,-0.00619667249179198,-0.00631487768640049,-0.000118205194608505,0.871928275220663,0.892277188203754,ns,P=0.872,FDR=0.892,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.486710664682286,-0.498869758281389,-0.0121590935991024,LIHC
LUAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,MDSC,258,258,0.00127218035947591,0.0130782757724466,0.0118060954129707,1.6392331954065e-22,8.19616597703251e-22,****,P=1.64e-22,FDR=8.20e-22,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-1.39248239627096,-0.66603746953957,0.726444926731388,LUAD
LUAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,DYSFUNCTION,258,258,-0.0798056924969114,-0.203762030609039,-0.123956338112127,1.27943548306579e-17,3.19858870766447e-17,****,P=1.28e-17,FDR=3.20e-17,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.441598560205489,-0.803741688362922,-1.24534024856841,LUAD
LUAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUAD/LUAD_TIDE_score_long.csv,TAMM2,258,258,-0.00513745632271483,-0.00775092640165545,-0.00261347007894062,0.00027748361876289,0.00046247269793815,***,P=2.77e-04,FDR=4.62e-04,TAM M2__TIDEpy,***,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.377755143868275,-0.646587891985123,-0.268832748116848,LUAD
LUAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,298,299,0.0383343344255269,0.0413434118222636,0.00300907739673666,0.0283267916986375,0.0354084896232968,*,P=0.0283,FDR=0.0354,Tregs_quantiseq__quanTIseq,*,Tregs,3,0.0151061726920464,0.0100027166865107,2.32218530839777,2.62301132307383,0.300826014676055,LUAD
LUSC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,DYSFUNCTION,250,251,-0.176545741095776,-0.377800408414211,-0.201254667318435,8.56985741565935e-31,4.28492870782968e-30,****,P=8.57e-31,FDR=4.28e-30,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.530310403898085,-2.55223635977118,-2.0219259558731,LUSC
LUSC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,MDSC,250,251,0.009721934861977,0.0249233668249251,0.0152014319629481,7.0705730360201e-25,1.76764325900502e-24,****,P=7.07e-25,FDR=1.77e-24,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.872557639121881,0.0628069113292092,0.93536455045109,LUSC
LUSC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/LUSC/LUSC_TIDE_score_long.csv,TAMM2,250,251,-0.00905881620962633,-0.00122002225990813,0.0078387939497182,4.1491684699302e-10,6.91528078321699e-10,****,P=4.15e-10,FDR=6.92e-10,TAM M2__TIDEpy,****,TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.781123050487244,0.0252089356354655,0.80633198612271,LUSC
LUSC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,276,275,0.0262539350508374,0.0187157857036203,-0.00753814934721714,9.49524471875595e-06,1.18690558984449e-05,****,P=9.50e-06,FDR=1.19e-05,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,1.11447346837529,0.360863265920711,-0.753610202454575,LUSC
MESO,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/MESO/MESO_TIDE_score_long.csv,DYSFUNCTION,43,44,0.0450773599855789,-0.0533132681635435,-0.0983906281491224,1.51402991932873e-06,7.57014959664363e-06,****,P=1.51e-06,FDR=7.57e-06,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.69624914112089,0.707757457821942,-0.988491683298945,MESO
MESO,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/MESO/MESO_TIDE_score_long.csv,MDSC,43,44,0.018636431185256,0.0368343773691611,0.0181979461839051,1.915423839333e-05,4.7885595983325e-05,****,P=1.92e-05,FDR=4.79e-05,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.324036692789621,0.795707407169526,1.11974409995915,MESO
MESO,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,43,44,0.0196976354176189,0.0265013959226762,0.00680376050505729,0.0566603586520291,0.0864085701707768,ns,P=0.0567,FDR=0.0864,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,0.459021570786297,1.1392128346489,0.680191263862605,MESO
MESO,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/MESO/MESO_TIDE_score_long.csv,TAMM2,43,44,-0.00916313257250862,-0.00967973617725186,-0.000516603604743241,0.808815472566648,0.808815472566648,ns,P=0.809,FDR=0.809,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.791853479250587,-0.844993543056671,-0.0531400638060837,MESO
OV,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,189,192,0.0112573553105945,0.0169700879865082,0.00571273267591363,6.74524884335546e-08,3.37262442167773e-07,****,P=6.75e-08,FDR=3.37e-07,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-0.384777206240612,0.186340906463477,0.571118112704089,OV
OV,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/OV/OV_TIDE_score_long.csv,DYSFUNCTION,189,189,-0.167699710126124,-0.209266592883686,-0.041566882757562,4.63924108717988e-07,1.15981027179497e-06,****,P=4.64e-07,FDR=1.16e-06,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.441437833327105,-0.859043846007885,-0.41760601268078,OV
OV,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/OV/OV_TIDE_score_long.csv,MDSC,189,189,0.0415902619279182,0.0475049608502346,0.0059146989223164,1.58202266715129e-06,2.63670444525214e-06,****,P=1.58e-06,FDR=2.64e-06,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,1.08834337943463,1.45228275777811,0.363939378343479,OV
OV,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/OV/OV_TIDE_score_long.csv,TAMM2,189,189,-0.00396523292330661,-0.00605737753952229,-0.00209214461621568,0.343095730791561,0.343095730791561,ns,P=0.343,FDR=0.343,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.257175214367982,-0.472382188102732,-0.21520697373475,OV
PAAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PAAD/PAAD_TIDE_score_long.csv,MDSC,89,89,0.0155078449036735,0.0215177992648413,0.0060099543611678,0.0016950776166154,0.00847538808307699,**,P=0.0017,FDR=0.00848,MDSC__TIDEpy,**,MDSC,2,0.0239026364702057,0.0162518795004761,-0.516542813788786,-0.146742240200252,0.369800573588534,PAAD
PAAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,91,92,0.0238648768527288,0.0303342456317014,0.00646936877897254,0.0135612126814961,0.0339030317037403,*,P=0.0136,FDR=0.0339,Tregs_quantiseq__quanTIseq,*,Tregs,3,0.0151061726920464,0.0100027166865107,0.875632534158845,1.52239370732063,0.646761173161781,PAAD
PAAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PAAD/PAAD_TIDE_score_long.csv,TAMM2,89,89,-0.00640808784942522,-0.00585347314500563,0.00055461470441959,0.0472472807034263,0.0787454678390438,*,P=0.0472,FDR=0.0787,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.508457755664743,-0.451407707020004,0.0570500486447387,PAAD
PAAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PAAD/PAAD_TIDE_score_long.csv,DYSFUNCTION,89,89,-0.0243967136838576,-0.0352109773853012,-0.0108142637014436,0.128862146965338,0.161077683706673,ns,P=0.129,FDR=0.161,Dysfunction__TIDEpy,"",T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.998270631185449,0.889624005678831,-0.108646625506619,PAAD
PCPG,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,92,95,0.0137359362384309,0.0206071595033652,0.00687122326493435,7.87760018118445e-06,3.93880009059222e-05,****,P=7.88e-06,FDR=3.94e-05,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-0.136986430442781,0.549949277153593,0.686935707596374,PCPG
PCPG,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PCPG/PCPG_TIDE_score_long.csv,MDSC,89,90,0.0107335951294783,0.0119778954686127,0.0012443003391344,0.26607462099258,0.4434577016543,ns,P=0.266,FDR=0.443,MDSC__TIDEpy,"",MDSC,2,0.0239026364702057,0.0162518795004761,-0.810308822455989,-0.733745349345205,0.0765634731107838,PCPG
PCPG,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PCPG/PCPG_TIDE_score_long.csv,TAMM2,89,90,0.000146765893579855,0.000186035914128953,3.9270020549098e-05,0.776282052356837,0.904700697910912,ns,P=0.776,FDR=0.905,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,0.165802630721758,0.169842113564087,0.00403948284232836,PCPG
PCPG,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PCPG/PCPG_TIDE_score_long.csv,DYSFUNCTION,89,90,0.0277755567407403,0.0259574585854648,-0.00181809815527555,0.904700697910912,0.904700697910912,ns,P=0.905,FDR=0.905,Dysfunction__TIDEpy,"",T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.52242477455951,1.50415906226842,-0.018265712291085,PCPG
PRAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PRAD/PRAD_TIDE_score_long.csv,DYSFUNCTION,248,249,-0.211261044553937,-0.27696664907369,-0.065705604519753,2.27564612196907e-20,1.13782306098453e-19,****,P=2.28e-20,FDR=1.14e-19,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.879081312236851,-1.53919950474871,-0.660118192511862,PRAD
PRAD,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,274,279,0.00697133071704932,0.0113020838920995,0.00433075317505017,4.49049230536475e-08,1.12262307634119e-07,****,P=4.49e-08,FDR=1.12e-07,Tregs_quantiseq__quanTIseq,****,Tregs,3,0.0151061726920464,0.0100027166865107,-0.813263259367074,-0.380305562895428,0.432957696471646,PRAD
PRAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PRAD/PRAD_TIDE_score_long.csv,MDSC,248,249,0.0302645275658738,0.0319677075442656,0.0017031799783918,0.0479973464244951,0.0599966830306189,*,P=0.048,FDR=0.06,MDSC__TIDEpy,"",MDSC,2,0.0239026364702057,0.0162518795004761,0.391455714121048,0.496254668503027,0.104798954381978,PRAD
PRAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PRAD/PRAD_TIDE_score_long.csv,TAMM2,248,249,0.0142849170046146,0.0146555400888989,0.000370623084284301,0.783667877196269,0.783667877196269,ns,P=0.784,FDR=0.784,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,1.62011352836609,1.65823740935733,0.0381238809912368,PRAD
READ,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/READ/READ_TIDE_score_long.csv,DYSFUNCTION,83,83,-0.15330068167541,-0.234234557669129,-0.080933875993719,5.17084922303107e-10,2.58542461151553e-09,****,P=5.17e-10,FDR=2.59e-09,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,-0.296776495770204,-1.10988710215526,-0.813110606385055,READ
READ,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/READ/READ_TIDE_score_long.csv,MDSC,83,83,0.0398668547685494,0.0491077169613495,0.0092408621928001,6.42770730699987e-06,1.60692682674997e-05,****,P=6.43e-06,FDR=1.61e-05,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,0.982299819407105,1.55090249656389,0.568602677156781,READ
READ,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,89,87,0.015638397734654,0.0196500576047093,0.00401165987005529,0.0232325646088688,0.0290407057610861,*,P=0.0232,FDR=0.029,Tregs_quantiseq__quanTIseq,*,Tregs,3,0.0151061726920464,0.0100027166865107,0.0532080493017752,0.454265081684315,0.401057032382539,READ
READ,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/READ/READ_TIDE_score_long.csv,TAMM2,83,83,0.00682637569206008,0.00700062306018072,0.00017424736812064,0.430677703972499,0.430677703972499,ns,P=0.431,FDR=0.431,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,0.85289596036935,0.870819792442832,0.0179238320734815,READ
SARC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SARC/SARC_TIDE_score_long.csv,DYSFUNCTION,129,130,0.0157936302090338,-0.101408656438564,-0.117202286647598,3.02528114716671e-14,1.51264057358336e-13,****,P=3.03e-14,FDR=1.51e-13,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,1.40204710293269,0.224562135165437,-1.17748496776726,SARC
SARC,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SARC/SARC_TIDE_score_long.csv,MDSC,129,130,0.0169709938616276,0.0366132105990815,0.0196422167374539,3.32902996015865e-13,8.32257490039663e-13,****,P=3.33e-13,FDR=8.32e-13,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.426513290870453,0.782098718397675,1.20861200926813,SARC
SARC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SARC/SARC_TIDE_score_long.csv,TAMM2,129,130,0.00220214326258456,0.00618100133049062,0.00397885806790605,0.00693464074524647,0.0115577345754108,**,P=0.00693,FDR=0.0116,TAM M2__TIDEpy,*,TAM M2,4,-0.00146509210153543,0.00972154656472386,0.377227567620478,0.786509983891976,0.409282416271498,SARC
SARC,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,130,135,0.0211725145073098,0.0176984605317311,-0.00347405397557873,0.576877573351359,0.576877573351359,ns,P=0.577,FDR=0.577,Tregs_quantiseq__quanTIseq,"",Tregs,3,0.0151061726920464,0.0100027166865107,0.606469422796328,0.259158378761293,-0.347311044035035,SARC
SKCM,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SKCM/SKCM_TIDE_score_long.csv,DYSFUNCTION,234,235,-0.106262234844784,-0.279642259696364,-0.173380024851581,5.27898458563111e-28,2.63949229281555e-27,****,P=5.28e-28,FDR=2.64e-27,Dysfunction__TIDEpy,****,T-cell dysfunction,1,-0.123760700376554,0.0995361213568921,0.175800154689855,-1.56608030526816,-1.74188045995801,SKCM
SKCM,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SKCM/SKCM_TIDE_score_long.csv,MDSC,234,235,0.0192116237115139,0.0426271341277363,0.0234155104162224,3.12222207265235e-25,7.80555518163088e-25,****,P=3.12e-25,FDR=7.81e-25,MDSC__TIDEpy,****,MDSC,2,0.0239026364702057,0.0162518795004761,-0.288644323172245,1.15214352019913,1.44078784337137,SKCM
SKCM,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,236,237,0.023815977725216,0.0269682273945005,0.00315224966928456,0.00159394723940616,0.0026565787323436,**,P=0.00159,FDR=0.00266,Tregs_quantiseq__quanTIseq,**,Tregs,3,0.0151061726920464,0.0100027166865107,0.87074394948277,1.18588330292817,0.315139353445399,SKCM
SKCM,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/SKCM/SKCM_TIDE_score_long.csv,TAMM2,234,235,-0.0034989535048028,-0.00245081762605762,0.00104813587874518,0.0553107194327079,0.0691383992908848,ns,P=0.0553,FDR=0.0691,TAM M2__TIDEpy,"",TAM M2,4,-0.00146509210153543,0.00972154656472386,-0.209211712326467,-0.101395957727451,0.107815754599017,SKCM
