Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
PRAD,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,274,279,7.640355,9.76047666666667,2.12012166666667,1.43393963614631e-08,1.00375774530242e-07,****,P=1.43e-08,FDR=1.00e-07,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.20806287812447e+23,2.82077811835533e+23,6.12715240230861e+22,****
PRAD,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/PRAD/PRAD_TIDE_score_long.csv,EXCLUSION,248,249,0.596756062092678,0.682034734235389,0.085278672142711,8.1023133716629e-05,0.000378107957344269,****,P=8.10e-05,FDR=3.78e-04,Exclusion score,0.518559332003667,0.260469451282052,0.300214592168566,0.62761833077577,0.327403738607204,***
PRAD,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,274,279,142.03163125,157.8535375,15.82190625,0.150429879637995,0.234002034992436,ns,P=0.15,FDR=0.234,Fibroblasts,1.197275,1.775079915,79.3397272201122,88.2530759185566,8.91334869844437,""
PRAD,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,274,279,0.500620371791001,0.565045156486725,0.0644247846957242,5.67715121894331e-16,7.94801170652063e-15,****,P=5.68e-16,FDR=7.95e-15,TGF-beta signaling,0.409022218252099,0.142799140816971,0.641447511622672,1.09260418054338,0.45115666892071,****
READ,CAF,CAF,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/READ/READ_TIDE_score_long.csv,CAF,83,83,0.0164669815590876,0.0206293011841117,0.0041623196250241,0.139093353688855,0.352917114531109,ns,P=0.139,FDR=0.353,CAF,0.0394390710931143,0.0312357940078499,-0.735441190585823,-0.602186386050422,0.133254804535401,""
READ,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),EPITHELIALMESENCHYMALTRANSITION,89,87,0.297296295939136,0.297112003200042,-0.000184292739093928,0.395746872806737,0.503677838117666,ns,P=0.396,FDR=0.504,EMT,0.266999790790937,0.124680700020625,0.242992741805165,0.241514624189018,-0.00147811761614666,""
READ,Endothelial_cells_MCPcounter,Endothelial Cells,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),ENDOTHELIALCELLS,89,87,7.77699333333333,9.82906,2.05206666666667,0.00183410237799192,0.0128387166459435,**,P=0.00183,FDR=0.0128,Endothelial cells,2.33387776121578e-23,3.46020716877851e-23,2.24755136152114e+23,2.84059870423012e+23,5.93047342708984e+22,*
READ,Exclusion,Exclusion,Immune exclusion,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/READ/READ_TIDE_score_long.csv,EXCLUSION,83,83,0.479254482539007,0.591676927404569,0.112422444865562,0.000209209466705107,0.0029289325338715,***,P=2.09e-04,FDR=0.00293,Exclusion score,0.518559332003667,0.260469451282052,-0.150900035574989,0.280714667462966,0.431614703037955,**
READ,Fibroblasts_MCPcounter,Fibroblasts,Immune exclusion,MCP-counter,IOBR::deconvo_tme(method='mcpcounter'),FIBROBLASTS,89,87,156.822175,240.0125875,83.1904125,0.0435851771544633,0.152548120040622,*,P=0.0436,FDR=0.153,Fibroblasts,1.197275,1.775079915,87.6720527819166,134.537780796196,46.8657280142793,""
READ,HALLMARK_TGF_BETA_SIGNALING,TGF Beta Signaling,Immune exclusion,MSigDB Hallmark ssGSEA,msigdbr::msigdbr(collection='H'),TGFBETASIGNALING,89,87,0.418893282095047,0.436925829839162,0.0180325477441155,0.52851573750771,0.616601693758995,ns,P=0.529,FDR=0.617,TGF-beta signaling,0.409022218252099,0.142799140816971,0.0691255128460435,0.19540461817503,0.126279105328986,""
