Cancer,Feature,Display,Category,Method,Source,Canonical,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Significance,P_label,FDR_label,Feature_Display,Center,Spread,Low_Z,High_Z,Diff_Z,FDR_star
CESC,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,DYSFUNCTION,152,152,-0.0720512284353716,-0.157094545862469,-0.0850433174270969,2.47653880379893e-13,6.19134700949733e-13,****,P=2.48e-13,FDR=6.19e-13,T-cell dysfunction,-0.121938022256179,0.112465199954439,0.443575380126623,-0.312599129513244,-0.756174509639867,****
CESC,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CESC/CESC_TIDE_score_long.csv,TAMM2,152,152,-0.02207826819836,-0.0102596644242692,0.0118186037740909,5.17483745305963e-06,8.62472908843272e-06,****,P=5.17e-06,FDR=8.62e-06,TAM M2,-0.00262703812671226,0.00966502050581696,-2.01253893459832,-0.78971651358248,1.22282242101584,****
CESC,Tregs_xCell,Tregs,Immune suppression,xCell,IOBR::deconvo_tme(method='xcell'),TREGS,155,154,0,2.64791678587358e-23,2.64791678587358e-23,0.374442432045682,0.468053040057102,ns,P=0.374,FDR=0.468,Tregs,1.97988101305249e-23,2.93537158995162e-23,-0.674490759476595,0.227581330795703,0.902072090272299,""
CHOL,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,MDSC,17,18,0.0221605918914888,0.0310669586698405,0.0089063667783517,0.141909061056916,0.35477265264229,ns,P=0.142,FDR=0.355,MDSC,0.0245951802567663,0.0169871580848144,-0.143319344714516,0.380980643187139,0.524299987901656,""
CHOL,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,DYSFUNCTION,17,18,-0.129419205999404,-0.19983204432858,-0.0704128383291755,0.0720553814630122,0.35477265264229,ns,P=0.0721,FDR=0.355,T-cell dysfunction,-0.121938022256179,0.112465199954439,-0.0665199879274321,-0.692605553575305,-0.626085565647873,""
CHOL,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/CHOL/CHOL_TIDE_score_long.csv,TAMM2,17,18,-0.00962748821045598,-0.0119901359799093,-0.00236264776945327,0.830132240640216,0.830132240640216,ns,P=0.83,FDR=0.83,TAM M2,-0.00262703812671226,0.00966502050581696,-0.724307835615088,-0.968761302426809,-0.24445346681172,""
CHOL,Tregs_quantiseq,Tregs,Immune suppression,quanTIseq,IOBR::deconvo_tme(method='quantiseq'),TREGS,20,23,0.00957916275942797,0.00953472839505371,-4.44343643742576e-05,0.796547910277525,0.830132240640216,ns,P=0.797,FDR=0.83,Tregs,1.97988101305249e-23,2.93537158995162e-23,3.26335609168509e+20,3.24821853140946e+20,-1513756027562890000,""
COAD,MDSC,MDSC,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,MDSC,228,228,0.038155607630211,0.0444433407708192,0.00628773314060825,1.64531250486772e-07,4.11328126216929e-07,****,P=1.65e-07,FDR=4.11e-07,MDSC,0.0245951802567663,0.0169871580848144,0.798275220948641,1.16842148727609,0.370146266327449,****
COAD,Dysfunction,Dysfunction,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,DYSFUNCTION,228,228,-0.140841293088233,-0.225344948565493,-0.08450365547726,4.80424835909315e-26,2.40212417954657e-25,****,P=4.80e-26,FDR=2.40e-25,T-cell dysfunction,-0.121938022256179,0.112465199954439,-0.168081067207567,-0.919457097406184,-0.751376030198617,****
COAD,TAM M2,TAM M2,Immune suppression,TIDEpy,D:/R_workspace/summary/Repairium_pancancer_analysis_plan/03-res/Figure2_pan_cancer/K_TIDE/COAD/COAD_TIDE_score_long.csv,TAMM2,228,228,0.00556168884838243,0.00654381694935265,0.000982128100970225,0.12052714950647,0.150658936883088,ns,P=0.121,FDR=0.151,TAM M2,-0.00262703812671226,0.00966502050581696,0.847253968076555,0.948870731370447,0.101616763293893,""
