Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
ACC,Drug_1005__CISPLATIN,79,-0.289070107108082,0.0097726455824085,0.0321922442714633,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
ACC,Drug_1007__DOCETAXEL,79,0.199342745861733,0.0781911483660646,0.145956810283321,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
ACC,Drug_1010__GEFITINIB,79,0.154503407984421,0.173973321574625,0.302278342707388,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
ACC,Drug_1014__REFAMETINIB,79,0.133519961051607,0.240757024325495,0.385211238920793,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
ACC,Drug_1016__TEMSIROLIMUS,79,0.355233690360273,0.00131573045911407,0.00566776197772216,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
ACC,Drug_1017__OLAPARIB,79,-0.458544303797468,2.13947488333176e-05,0.000199684322444298,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
ACC,Drug_1018__VELIPARIB,79,0.254625121713729,0.0235403778514018,0.0549275483199375,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
ACC,Drug_1022__AZD7762,79,-0.0324001947419669,0.776821566326799,0.83657707142886,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
ACC,Drug_1032__AFATINIB,79,0.633106134371957,3.8353053862784e-10,1.07388550815795e-08,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
ACC,Drug_1046__WEE1_INHIBITOR,79,-0.105696202531646,0.35388778036004,0.480069063607042,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
ACC,Drug_1053__MK_2206,79,0.283933787731256,0.0112173018070411,0.0339277492075473,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
ACC,Drug_1057__DACTOLISIB,79,0.00433300876338851,0.969768265160205,0.982673466357235,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
ACC,Drug_1058__PICTILISIB,79,0.359152872444012,0.00115194283452957,0.00537573322780465,Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,966,1.141478,TRUE
ACC,Drug_1059__AZD8055,79,0.454552093476144,2.57469363411693e-05,0.000205975490729354,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
ACC,Drug_1060__PD0325901,79,-0.0897030185004869,0.431764192055284,0.537306550113243,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
ACC,Drug_1062__SELUMETINIB,79,0.215603700097371,0.0563534995340509,0.112706999068102,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
ACC,Drug_1080__PACLITAXEL,79,0.0990749756572541,0.385010364129122,0.501408846307694,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
ACC,Drug_1084__RAPAMYCIN,79,-0.0658958130477118,0.5639482622874,0.619237307609694,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
ACC,Drug_1089__OXALIPLATIN,79,0.120740019474197,0.289172392207524,0.446375098471291,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
ACC,Drug_1129__PF_4708671,79,0.481256085686465,7.13167109723275e-06,9.98433953612586e-05,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
ACC,Drug_1168__ERLOTINIB,79,0.41263388510224,0.000157483265155236,0.00110238285608665,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
ACC,Drug_1175__RUCAPARIB,79,0.11110029211295,0.32967773765697,0.473383418174111,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
ACC,Drug_1177__NIRAPARIB,79,-0.275632911392405,0.013945727209178,0.0390480361856985,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
ACC,Drug_1179__MK_1775,79,0.0159444985394353,0.889080523132176,0.922009431396331,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
ACC,Drug_1190__GEMCITABINE,79,0.153042843232717,0.178128309095425,0.302278342707388,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
ACC,Drug_1259__TALAZOPARIB,79,-0.302142161635833,0.00680467195126489,0.0254041086180556,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
ACC,Drug_1372__TRAMETINIB,79,-0.117648490749757,0.301788046892126,0.446375098471291,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
ACC,Drug_1441__AZD2014,79,0.467283349561831,1.41490283921375e-05,0.000158469117991941,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
ACC,Drug_1553__UPROSERTIB,79,0.227994157740993,0.0432946667817013,0.0932500515298182,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
ACC,Drug_1560__ALPELISIB,79,0.344814995131451,0.00185845691976592,0.00743382767906368,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
ACC,Drug_1561__TASELISIB,79,0.379673807205453,0.000558495340299671,0.00312757390567816,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
ACC,Drug_1594__OSI_027,79,0.612755598831548,1.95028308602644e-09,3.64052842724936e-08,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
ACC,Drug_1613__VE_822,79,0.388218111002921,0.000407322373780797,0.00253445032574718,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
ACC,Drug_1615__CZC24832,79,-0.0756815968841285,0.507392969622566,0.579877679568647,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
ACC,Drug_1736__SELUMETINIB,79,-0.242672833495618,0.031172318097751,0.0698259925389622,Selumetinib,1736,"MEK1, MEK2",ERK MAPK signaling,717,4.214499,TRUE
ACC,Drug_1778__GSK2110183B,79,0.182570593962999,0.107305140675805,0.193841544446616,GSK2110183B,1778,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,717,3.505438,TRUE
ACC,Drug_1806__OXALIPLATIN,79,0.372809152872444,0.000715308825582515,0.00364157220296553,Oxaliplatin,1806,DNA alkylating agent,DNA replication,717,5.185118,TRUE
ACC,Drug_1819__DOCETAXEL,79,0.117380720545278,0.302897388248376,0.446375098471291,Docetaxel,1819,Microtubule stabiliser,Mitosis,670,-2.538492,TRUE
ACC,Drug_1873__BUPARLISIB,79,0.0831061343719572,0.466521310021354,0.548716851662349,Buparlisib,1873,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,957,0.993008,TRUE
ACC,Drug_1912__AFURESERTIB,79,0.145009737098345,0.202279965132727,0.333167001395079,Afuresertib,1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,956,2.4131465,TRUE
ACC,Drug_1916__AZD5363,79,0.257132424537488,0.0221593648270454,0.0539532361006323,AZD5363,1916,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",957,2.858666,TRUE
ACC,Drug_1917__AZD6738,79,0.270618305744888,0.015858179650226,0.0422884790672693,AZD6738,1917,ATR,Genome integrity,957,1.970669,TRUE
ACC,Drug_1918__AZD8186,79,0.267429406037001,0.0171885521419048,0.043752678179394,AZD8186,1918,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,957,3.162977,TRUE
ACC,Drug_1919__OSIMERTINIB,79,0.651411879259981,7.99331497741087e-11,4.47625638735009e-09,Osimertinib,1919,EGFR,EGFR signaling,956,1.722364,TRUE
ACC,Drug_1924__IPATASERTIB,79,-0.0824001947419669,0.470328729996299,0.548716851662349,Ipatasertib,1924,"AKT1, AKT, AKT3",PI3K/MTOR signaling,957,3.487847,TRUE
ACC,Drug_1926__GNE_317,79,-0.00248296007789679,0.982673466357235,0.982673466357235,GNE-317,1926,PI3Kalpha,PI3K/MTOR signaling,943,0.556985,TRUE
ACC,Drug_2045__AMG_319,79,-0.0715433300876339,0.53094829622274,0.594662091769469,AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,949,4.924722,TRUE
ACC,Drug_2046__MK_8776,79,0.223222979552094,0.0479904517728867,0.0995357518252464,MK-8776,2046,"CHEK1, CHEK2, CDK2",Cell cycle,951,3.187491,TRUE
ACC,Drug_2106__UPROSERTIB,79,-0.0900925024342746,0.429759199556553,0.537306550113243,Uprosertib,2106,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,736,2.7050635,TRUE
ACC,Drug_2107__LJI308,79,-0.206207400194742,0.0682660585196627,0.131824113003487,LJI308,2107,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,953,5.019894,TRUE
ACC,Drug_2111__VE821,79,0.0830817916260954,0.466652320567204,0.548716851662349,VE821,2111,ATR,Genome integrity,950,3.9402775,TRUE
ACC,Drug_2169__AZD6482,79,0.108909444985394,0.339362881817863,0.475108034545009,AZD6482,2169,PI3Kbeta,PI3K/MTOR signaling,266,3.3943365,TRUE
ACC,Drug_2170__AT13148,79,-0.10435735150925,0.360051797705281,0.480069063607042,AT13148,2170,AKT1,PI3K/MTOR signaling,953,3.438764,TRUE
ACC,Drug_2360__THR_101,79,0.0195959104186952,0.863899409299274,0.912799375863384,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,731,5.193065,TRUE
ACC,Drug_2361__THR_102,79,-0.297005842259007,0.00785977251818604,0.0275092038136511,THR-102,2361,Mutant RAS,PI3K/MTOR signaling,731,4.99625,TRUE
ACC,Drug_2362__THR_103,79,0.282960077896787,0.0115112006239893,0.0339277492075473,THR-103,2362,Mutant RAS,PI3K/MTOR signaling,731,4.493783,TRUE
BLCA,Drug_1005__CISPLATIN,406,-0.174102180998733,0.000424767857210994,0.00148668750023848,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
BLCA,Drug_1007__DOCETAXEL,406,-0.0378835620214931,0.446506310076613,0.500087067285807,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
BLCA,Drug_1010__GEFITINIB,406,-0.0722315687832929,0.146269093826665,0.221380250116033,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
BLCA,Drug_1014__REFAMETINIB,406,0.278876368531541,1.09277333630064e-08,1.5298826708209e-07,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
BLCA,Drug_1016__TEMSIROLIMUS,406,0.46835630973562,1.58308718692832e-23,8.86528824679857e-22,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
BLCA,Drug_1017__OLAPARIB,406,-0.233179619386516,2.0383628038048e-06,1.26831463347854e-05,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
BLCA,Drug_1018__VELIPARIB,406,0.045074810592052,0.364992745151622,0.434884972946614,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
BLCA,Drug_1022__AZD7762,406,-0.211239183652977,1.77267616807961e-05,9.02453321931436e-05,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
BLCA,Drug_1032__AFATINIB,406,0.182527265285886,0.000217654662009627,0.000870618648038508,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
BLCA,Drug_1046__WEE1_INHIBITOR,406,-0.136586653828033,0.00584076368411429,0.013083310652416,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
BLCA,Drug_1053__MK_2206,406,0.161542733956527,0.00108909130088461,0.00320995330787044,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
BLCA,Drug_1057__DACTOLISIB,406,0.138382269416752,0.00521928223949075,0.0121783252254784,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
BLCA,Drug_1058__PICTILISIB,406,0.158888938199283,0.00131777290754244,0.00368976414111882,Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,966,1.141478,TRUE
BLCA,Drug_1059__AZD8055,406,0.430974368905403,8.58467022916947e-20,2.40370766416745e-18,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
BLCA,Drug_1060__PD0325901,406,0.176232927957066,0.000359700628541212,0.00134288234655386,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
BLCA,Drug_1062__SELUMETINIB,406,0.254220095599406,2.07884907759316e-07,1.45519435431521e-06,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
BLCA,Drug_1080__PACLITAXEL,406,-0.0422311249897457,0.396054547772296,0.462063639067678,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
BLCA,Drug_1084__RAPAMYCIN,406,0.190337314475246,0.00011399249568863,0.000531964979880273,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
BLCA,Drug_1089__OXALIPLATIN,406,0.0128145162627921,0.796854702088058,0.841959685225118,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
BLCA,Drug_1129__PF_4708671,406,0.116104729897833,0.0192758986807661,0.03598167753743,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
BLCA,Drug_1168__ERLOTINIB,406,-0.0390976735804322,0.432062124694984,0.493785285365696,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
BLCA,Drug_1175__RUCAPARIB,406,0.102793613138441,0.038420979177249,0.0632816127625278,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
BLCA,Drug_1177__NIRAPARIB,406,-0.0489672834500421,0.325011349902697,0.410628291951856,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
BLCA,Drug_1179__MK_1775,406,-0.268731158386331,3.80707464393157e-08,3.55326966766946e-07,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
BLCA,Drug_1190__GEMCITABINE,406,0.088071143243557,0.0763018555119913,0.118691775240875,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
BLCA,Drug_1259__TALAZOPARIB,406,-0.173287393977049,0.000452424050016892,0.00149033804711447,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
BLCA,Drug_1372__TRAMETINIB,406,0.274647509130268,1.85002242973446e-08,2.07202512130259e-07,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
BLCA,Drug_1441__AZD2014,406,0.166722656377829,0.000744497316635135,0.00231621387397598,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
BLCA,Drug_1553__UPROSERTIB,406,0.103334413679241,0.0374077646112252,0.0632816127625278,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
BLCA,Drug_1560__ALPELISIB,406,0.127545996511514,0.0100946023928964,0.0194930253104206,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
BLCA,Drug_1561__TASELISIB,406,0.151814241469414,0.00215974166582063,0.00549752424027069,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
BLCA,Drug_1594__OSI_027,406,0.285418871625768,4.75455073912759e-09,8.87516137970483e-08,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
BLCA,Drug_1613__VE_822,406,0.139648381027691,0.00481754827512398,0.0117296827568236,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
BLCA,Drug_1615__CZC24832,406,-0.134544486268624,0.00662772372419526,0.0142750972521129,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
BLCA,Drug_1736__SELUMETINIB,406,0.101435335918095,0.0410687294889647,0.0657099671823435,Selumetinib,1736,"MEK1, MEK2",ERK MAPK signaling,717,4.214499,TRUE
BLCA,Drug_1778__GSK2110183B,406,0.00642388918250987,0.897325973599509,0.913640991301319,GSK2110183B,1778,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,717,3.505438,TRUE
BLCA,Drug_1806__OXALIPLATIN,406,0.18404835646215,0.000192286615629525,0.000828311575019492,Oxaliplatin,1806,DNA alkylating agent,DNA replication,717,5.185118,TRUE
BLCA,Drug_1819__DOCETAXEL,406,-0.0700429045256632,0.158922518851321,0.226564761186064,Docetaxel,1819,Microtubule stabiliser,Mitosis,670,-2.538492,TRUE
BLCA,Drug_1873__BUPARLISIB,406,-0.110408572477538,0.0261069451114131,0.0456871539449729,Buparlisib,1873,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,957,0.993008,TRUE
BLCA,Drug_1912__AFURESERTIB,406,-0.00123015985084951,0.980285783810332,0.980285783810332,Afuresertib,1912,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,956,2.4131465,TRUE
BLCA,Drug_1916__AZD5363,406,-0.00807318738353221,0.871170945463024,0.903436536035729,AZD5363,1916,"AKT1, AKT2, AKT3, ROCK2","Other, kinases",957,2.858666,TRUE
BLCA,Drug_1917__AZD6738,406,-0.0709746020090848,0.153438686275217,0.226120169247688,AZD6738,1917,ATR,Genome integrity,957,1.970669,TRUE
BLCA,Drug_1918__AZD8186,406,-0.0624889107647728,0.208948224840741,0.285392697343451,AZD8186,1918,"PI3Kalpha, PI3Kbeta",PI3K/MTOR signaling,957,3.162977,TRUE
BLCA,Drug_1919__OSIMERTINIB,406,0.112497898704795,0.0233913427069197,0.0422553287608872,Osimertinib,1919,EGFR,EGFR signaling,956,1.722364,TRUE
BLCA,Drug_1924__IPATASERTIB,406,-0.131475945269049,0.00798927920963077,0.0159785584192615,Ipatasertib,1924,"AKT1, AKT, AKT3",PI3K/MTOR signaling,957,3.487847,TRUE
BLCA,Drug_1926__GNE_317,406,0.0492468285571734,0.32225361917633,0.410628291951856,GNE-317,1926,PI3Kalpha,PI3K/MTOR signaling,943,0.556985,TRUE
BLCA,Drug_2045__AMG_319,406,-0.0553571932882278,0.265781026499438,0.35437470199925,AMG-319,2045,PI3K (beta sparing),PI3K/MTOR signaling,949,4.924722,TRUE
BLCA,Drug_2046__MK_8776,406,-0.0482821379373104,0.331834854875292,0.410628291951856,MK-8776,2046,"CHEK1, CHEK2, CDK2",Cell cycle,951,3.187491,TRUE
BLCA,Drug_2106__UPROSERTIB,406,-0.069558407489442,0.16183197227576,0.226564761186064,Uprosertib,2106,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,736,2.7050635,TRUE
BLCA,Drug_2107__LJI308,406,-0.132536387708802,0.00749285636974342,0.0155407391372456,LJI308,2107,"RSK2, RSK1, RSK3",PI3K/MTOR signaling,953,5.019894,TRUE
BLCA,Drug_2111__VE821,406,-0.0245600728359349,0.621715565432332,0.682668071847267,VE821,2111,ATR,Genome integrity,950,3.9402775,TRUE
BLCA,Drug_2169__AZD6482,406,0.262452421073111,8.03581887582531e-08,6.42865510066025e-07,AZD6482,2169,PI3Kbeta,PI3K/MTOR signaling,266,3.3943365,TRUE
BLCA,Drug_2170__AT13148,406,-0.0477397236017926,0.337301811246168,0.410628291951856,AT13148,2170,AKT1,PI3K/MTOR signaling,953,3.438764,TRUE
BLCA,Drug_2360__THR_101,406,-0.156294494225529,0.00158326603840567,0.00422204276908178,THR-101,2360,Mutant RAS,PI3K/MTOR signaling,731,5.193065,TRUE
BLCA,Drug_2361__THR_102,406,-0.226091832988385,4.19874550006193e-06,2.35129748003468e-05,THR-102,2361,Mutant RAS,PI3K/MTOR signaling,731,4.99625,TRUE
BLCA,Drug_2362__THR_103,406,0.0130885027436752,0.792609027592848,0.841959685225118,THR-103,2362,Mutant RAS,PI3K/MTOR signaling,731,4.493783,TRUE
BRCA,Drug_1005__CISPLATIN,1095,0.0918040371465596,0.0023593390601652,0.0035708915505203,Cisplatin,1005,DNA crosslinker,DNA replication,760,3.1021655,TRUE
BRCA,Drug_1007__DOCETAXEL,1095,0.11165964756358,0.000213680606375191,0.00039887046523369,Docetaxel,1007,Microtubule stabiliser,Mitosis,966,-4.50888,TRUE
BRCA,Drug_1010__GEFITINIB,1095,0.11602669714747,0.000119070428708422,0.000238140857416845,Gefitinib,1010,EGFR,EGFR signaling,957,3.258682,TRUE
BRCA,Drug_1014__REFAMETINIB,1095,0.330621151778789,2.42945014961336e-29,3.4012302094587e-28,Refametinib,1014,"MEK1, MEK2",ERK MAPK signaling,946,2.5389975,TRUE
BRCA,Drug_1016__TEMSIROLIMUS,1095,0.400282439763336,2.15211590954801e-43,1.20518490934689e-41,Temsirolimus,1016,MTOR,PI3K/MTOR signaling,921,1.134302,TRUE
BRCA,Drug_1017__OLAPARIB,1095,0.0827658367618448,0.00613717169462634,0.00859204037247688,Olaparib,1017,"PARP1, PARP2",Genome integrity,966,4.3531465,TRUE
BRCA,Drug_1018__VELIPARIB,1095,0.0339180615759265,0.262110830899604,0.282273202507266,Veliparib,1018,"PARP1, PARP2",Genome integrity,948,5.28497,TRUE
BRCA,Drug_1022__AZD7762,1095,0.0673469855939452,0.0258438801341307,0.0321612730558071,AZD7762,1022,"CHEK1, CHEK2",Cell cycle,960,0.0970545,TRUE
BRCA,Drug_1032__AFATINIB,1095,0.125552856048947,3.09455841978575e-05,7.22063631283341e-05,Afatinib,1032,"EGFR, ERBB2",EGFR signaling,965,1.646094,TRUE
BRCA,Drug_1046__WEE1_INHIBITOR,1095,-0.0796025242082739,0.00840668831279657,0.0112089177503954,Wee1 Inhibitor,1046,"WEE1, CHEK1",Cell cycle,956,1.8240615,TRUE
BRCA,Drug_1053__MK_2206,1095,0.138188045912045,4.44173842869192e-06,1.18446358098451e-05,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
BRCA,Drug_1057__DACTOLISIB,1095,0.121293126628836,5.72262420762344e-05,0.000123256521394966,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
BRCA,Drug_1058__PICTILISIB,1095,0.19007732681942,2.29000643064951e-10,9.16002572259802e-10,Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,966,1.141478,TRUE
BRCA,Drug_1059__AZD8055,1095,0.328367081024987,6.08018862325728e-29,6.80981125804816e-28,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
BRCA,Drug_1060__PD0325901,1095,0.201819479843606,1.58157732062619e-11,8.05166635955152e-11,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
BRCA,Drug_1062__SELUMETINIB,1095,0.333108508161981,8.749296532192e-30,1.63320201934251e-28,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
BRCA,Drug_1080__PACLITAXEL,1095,0.125788380942527,2.98940120691267e-05,7.22063631283341e-05,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
BRCA,Drug_1084__RAPAMYCIN,1095,0.235643784798851,2.78361966026811e-15,1.94853376218767e-14,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
BRCA,Drug_1089__OXALIPLATIN,1095,0.0959644163554394,0.00147656309037789,0.00243198626650476,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
BRCA,Drug_1129__PF_4708671,1095,0.122550112447622,4.78305386828191e-05,0.000107140406649515,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
BRCA,Drug_1168__ERLOTINIB,1095,0.0946695367026369,0.00171177535182851,0.0026627616583999,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
BRCA,Drug_1175__RUCAPARIB,1095,0.191083533328568,1.83311374894605e-10,8.5545308284149e-10,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
BRCA,Drug_1177__NIRAPARIB,1095,0.127004849789244,2.49812458676546e-05,6.3588625844939e-05,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
BRCA,Drug_1179__MK_1775,1095,-0.0179218184214485,0.553571215319463,0.584905435054527,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
BRCA,Drug_1190__GEMCITABINE,1095,0.214597690139578,7.13268930660105e-13,4.43811779077399e-12,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
BRCA,Drug_1259__TALAZOPARIB,1095,0.078204610983143,0.00962936990397233,0.0122555616959648,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
BRCA,Drug_1372__TRAMETINIB,1095,0.25002366308159,4.55092083409692e-17,4.2475261118238e-16,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
BRCA,Drug_1441__AZD2014,1095,0.0169258759681619,0.575826754737833,0.597153671579975,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
BRCA,Drug_1553__UPROSERTIB,1095,0.138830367420296,4.00534056789667e-06,1.12149535901107e-05,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
BRCA,Drug_1560__ALPELISIB,1095,0.161304317465877,8.01587747016666e-08,2.64052434311372e-07,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
BRCA,Drug_1561__TASELISIB,1095,0.210905161769015,1.78279139460608e-12,9.98363180979407e-12,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
BRCA,Drug_1594__OSI_027,1095,0.154624007434723,2.72208440479568e-07,8.46870703714211e-07,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
BRCA,Drug_1613__VE_822,1095,0.162619195118879,6.26361931287261e-08,2.19226675950541e-07,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
BRCA,Drug_1615__CZC24832,1095,0.0950835720815487,0.00163306640940076,0.00261290625504121,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
BRCA,Drug_1736__SELUMETINIB,1095,0.098921360149177,0.00104660749623585,0.00183156311841274,Selumetinib,1736,"MEK1, MEK2",ERK MAPK signaling,717,4.214499,TRUE
BRCA,Drug_1778__GSK2110183B,1095,0.0360944892713654,0.232705062075616,0.255519283847735,GSK2110183B,1778,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,717,3.505438,TRUE
BRCA,Drug_1806__OXALIPLATIN,1095,0.112204209195168,0.000198877078249444,0.000384038495929961,Oxaliplatin,1806,DNA alkylating agent,DNA replication,717,5.185118,TRUE
BRCA,Drug_1819__DOCETAXEL,1095,0.085957601680417,0.00442130962217735,0.00651561418005083,Docetaxel,1819,Microtubule stabiliser,Mitosis,670,-2.538492,TRUE
BRCA,Drug_1873__BUPARLISIB,1095,-0.0110592140054733,0.714699948114443,0.727694492625615,Buparlisib,1873,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",PI3K/MTOR signaling,957,0.993008,TRUE
