Cancer,DrugKey,Spearman_N,Spearman_Rho,Spearman_P,Spearman_FDR,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
STAD,Drug_1129__PF_4708671,375,-0.102277619751963,0.0477959247914856,0.0688313188001183,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
STAD,Drug_1168__ERLOTINIB,375,-0.141586756172488,0.00602327823856794,0.010880760689026,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
STAD,Drug_1175__RUCAPARIB,375,0.0522823984526112,0.312612673513969,0.372474674825155,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
STAD,Drug_1177__NIRAPARIB,375,-0.117863465695756,0.0224445980904779,0.038087802820205,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
STAD,Drug_1179__MK_1775,375,-0.348096484241666,4.01991694444202e-12,5.62788372221883e-11,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
STAD,Drug_1190__GEMCITABINE,375,-0.074455797019001,0.150146314230091,0.191095309020116,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
STAD,Drug_1259__TALAZOPARIB,375,-0.24962521333485,9.80317216844094e-07,4.22290493409764e-06,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
STAD,Drug_1372__TRAMETINIB,375,-0.239976789168279,2.59552453789675e-06,9.68995827481452e-06,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
STAD,Drug_1441__AZD2014,375,0.00681875071111617,0.895296536999102,0.953506847191178,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
STAD,Drug_1553__UPROSERTIB,375,-0.0786965525088179,0.12820347824916,0.17510718980373,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
STAD,Drug_1560__ALPELISIB,375,-0.104158607350097,0.0438235159531411,0.0681699137048861,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
STAD,Drug_1561__TASELISIB,375,0.00136557059961315,0.978973476193232,0.978973476193232,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
STAD,Drug_1594__OSI_027,375,0.381773353054955,1.85336973914979e-14,1.03788705392388e-12,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
STAD,Drug_1613__VE_822,375,0.00214586414836728,0.966964416765899,0.978973476193232,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
STAD,Drug_1615__CZC24832,375,-0.176019342359768,0.000617085830221014,0.00157076393147167,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
STAD,Drug_1736__SELUMETINIB,375,-0.3658058937308,2.56939207406389e-13,4.79619853825259e-12,Selumetinib,1736,"MEK1, MEK2",ERK MAPK signaling,717,4.214499,TRUE
STAD,Drug_1778__GSK2110183B,375,-0.10271430196837,0.0468478079410878,0.0688313188001183,GSK2110183B,1778,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,717,3.505438,TRUE
STAD,Drug_1806__OXALIPLATIN,375,-0.173302764819661,0.000750790988635871,0.00175184564015037,Oxaliplatin,1806,DNA alkylating agent,DNA replication,717,5.185118,TRUE
