Cancer,DrugKey,Comparison,Test,N_Low,N_High,Median_Low,Median_High,Effect,P,FDR,Sensitive_Group,Drug_Value_Label,DrugName,DrugID,PutativeTarget,PathwayName,N_CellLines_GDSC2,Median_LN_IC50,IsPriorityDrug
ACC,Drug_1053__MK_2206,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,4.49986300239916,4.68832842866019,0.18846542626103,0.0750211452833627,0.187048758390022,Low,log2_predicted_IC50,MK-2206,1053,"AKT1, AKT2",PI3K/MTOR signaling,967,2.75657,TRUE
ACC,Drug_1057__DACTOLISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,-2.18358629404736,-2.16362095866159,0.0199653353857725,0.926203425832682,0.943043488120549,Low,log2_predicted_IC50,Dactolisib,1057,"PI3K (class 1), MTORC1, MTORC2",PI3K/MTOR signaling,957,-1.67946,TRUE
ACC,Drug_1058__PICTILISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,2.29324070854397,2.49188578640678,0.198645077862812,0.0150642529482011,0.0766907422817508,Low,log2_predicted_IC50,Pictilisib,1058,PI3K (class 1),PI3K/MTOR signaling,966,1.141478,TRUE
ACC,Drug_1059__AZD8055,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,-0.683500859694775,-0.30715206111219,0.376348798582585,0.00251162537494836,0.0200930029995869,Low,log2_predicted_IC50,AZD8055,1059,"MTORC1, MTORC2",PI3K/MTOR signaling,745,-0.155106,TRUE
ACC,Drug_1060__PD0325901,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,2.96371071113989,2.9422208354094,-0.0214898757304889,0.879877025408892,0.929681385337697,High,log2_predicted_IC50,PD0325901,1060,"MEK1, MEK2",ERK MAPK signaling,967,1.67305,TRUE
ACC,Drug_1062__SELUMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,5.20342827725211,5.35136295938481,0.147934682132709,0.127808284658337,0.265083849661735,Low,log2_predicted_IC50,Selumetinib,1062,"MEK1, MEK2",ERK MAPK signaling,948,3.578666,TRUE
ACC,Drug_1080__PACLITAXEL,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,-3.47348262168044,-3.15709588459811,0.316386737082331,0.629224513488859,0.727054856202324,Low,log2_predicted_IC50,Paclitaxel,1080,Microtubule stabiliser,Mitosis,957,-3.321115,TRUE
ACC,Drug_1084__RAPAMYCIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,-3.01905376458551,-3.07775190821829,-0.0586981436327738,0.516424018735844,0.705359635346519,High,log2_predicted_IC50,Rapamycin,1084,MTORC1,PI3K/MTOR signaling,949,-1.958811,TRUE
ACC,Drug_1089__OXALIPLATIN,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,6.07764467159026,6.23961638310949,0.161971711519231,0.581516974332485,0.716105043642819,Low,log2_predicted_IC50,Oxaliplatin,1089,DNA alkylating agent,DNA replication,966,3.84296,TRUE
ACC,Drug_1129__PF_4708671,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,5.1741103658329,5.23457656287467,0.0604661970417686,6.05033066244354e-05,0.000847046292742095,Low,log2_predicted_IC50,PF-4708671,1129,S6K1,PI3K/MTOR signaling,267,3.599153,TRUE
ACC,Drug_1168__ERLOTINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,4.90998007255066,5.24624204030571,0.336261967755055,0.000767952484525155,0.00860106782668173,Low,log2_predicted_IC50,Erlotinib,1168,EGFR,EGFR signaling,954,2.8669695,TRUE
ACC,Drug_1175__RUCAPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,6.40676836819185,6.41646797815846,0.00969960996661445,0.479243833199574,0.688144991260926,Low,log2_predicted_IC50,Rucaparib,1175,"PARP1, PARP2",Genome integrity,947,4.01274,TRUE
ACC,Drug_1177__NIRAPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,7.02934060592568,6.87278027122153,-0.156560334704151,0.0366856100868524,0.128399635303984,High,log2_predicted_IC50,Niraparib,1177,"PARP1, PARP2",Genome integrity,893,4.38618,TRUE
ACC,Drug_1179__MK_1775,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,1.35884742233113,1.36241518032558,0.00356775799444709,0.965005409938222,0.965005409938222,Low,log2_predicted_IC50,MK-1775,1179,"WEE1, PLK1",Cell cycle,966,0.445436,TRUE
ACC,Drug_1190__GEMCITABINE,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,-0.842687738095017,-0.367388023099418,0.475299714995599,0.231073076071356,0.41742233096761,Low,log2_predicted_IC50,Gemcitabine,1190,Pyrimidine antimetabolite,DNA replication,959,-1.053316,TRUE
ACC,Drug_1259__TALAZOPARIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,5.60769546960879,5.29865109087043,-0.309044378738357,0.0138500667696863,0.0766907422817508,High,log2_predicted_IC50,Talazoparib,1259,"PARP1, PARP2",Genome integrity,955,3.161281,TRUE
ACC,Drug_1372__TRAMETINIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,1.19980404296576,1.16799193240229,-0.0318121105634717,0.479243833199574,0.688144991260926,High,log2_predicted_IC50,Trametinib,1372,"MEK1, MEK2",ERK MAPK signaling,965,0.540507,TRUE
ACC,Drug_1441__AZD2014,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,2.68571722021899,3.03292755463006,0.347210334411074,0.00287517998517806,0.0201262598962464,Low,log2_predicted_IC50,AZD2014,1441,"mTORC1, mTORC2",PI3K/MTOR signaling,717,2.014818,TRUE
ACC,Drug_1553__UPROSERTIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,4.6528081379841,4.80852486453181,0.155716726547706,0.361223490125017,0.612985316575786,Low,log2_predicted_IC50,Uprosertib,1553,"AKT1, AKT2, AKT3",PI3K/MTOR signaling,897,2.9051,TRUE
ACC,Drug_1560__ALPELISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,5.76961332224436,5.94225272638166,0.172639404137297,0.0257796128815451,0.0962438880911018,Low,log2_predicted_IC50,Alpelisib,1560,PI3Kalpha,PI3K/MTOR signaling,964,3.3928615,TRUE
ACC,Drug_1561__TASELISIB,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,3.72196323241888,4.04127824765249,0.319315015233615,0.0232265000609964,0.0929060002439856,Low,log2_predicted_IC50,Taselisib,1561,PI3K (beta sparing),PI3K/MTOR signaling,965,1.901128,TRUE
ACC,Drug_1594__OSI_027,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,3.31873789427542,3.67199732577845,0.353259431503023,3.17665649018089e-06,8.89463817250648e-05,Low,log2_predicted_IC50,OSI-027,1594,"MTORC1, MTORC2",PI3K/MTOR signaling,959,2.511485,TRUE
ACC,Drug_1613__VE_822,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,4.83055156825646,5.33733781509845,0.50678624684199,0.00485111933737124,0.0301847425436433,Low,log2_predicted_IC50,VE-822,1613,ATR,Genome integrity,893,3.125544,TRUE
ACC,Drug_1615__CZC24832,MO-DDRscore High vs Low,Wilcoxon rank-sum,39,40,7.91550327142494,7.82196277644044,-0.0935404949845013,0.535553197676925,0.7140709302359,High,log2_predicted_IC50,CZC24832,1615,PI3Kgamma,PI3K/MTOR signaling,893,5.183793,TRUE
